conference,year,n_hotcrp,n_pc,n_epc,n_erc,n_researchr_any,n_hotcrp_in_pc,n_hotcrp_in_epc,n_hotcrp_in_erc,n_hotcrp_in_researchr_any,n_hotcrp_only,n_researchr_only,share_hotcrp_in_researchr_any
ICFP,2017,23,23,0,0,23,23,0,0,23,0,0,1.0
ICFP,2018,63,18,0,43,61,18,0,43,61,2,0,0.968
ICFP,2019,72,20,0,51,71,20,0,51,71,1,0,0.986
ICFP,2020,60,17,0,42,59,17,0,42,59,1,0,0.983
ICFP,2021,30,30,0,0,30,30,0,0,30,0,0,1.0
ICFP,2022,42,42,0,0,42,42,0,0,42,0,0,1.0
ICFP,2023,55,54,0,0,54,54,0,0,54,1,0,0.982
ICFP,2024,51,51,0,0,51,51,0,0,51,0,0,1.0
ICFP,2025,63,63,0,0,63,63,0,0,63,0,0,1.0
OOPSLA,2017,59,31,28,0,59,31,28,0,59,0,0,1.0
OOPSLA,2018,56,30,26,0,56,30,26,0,56,0,0,1.0
OOPSLA,2019,66,32,0,32,64,32,0,32,64,2,0,0.97
OOPSLA,2020,93,32,0,61,93,32,0,61,93,0,0,1.0
OOPSLA,2021,107,51,0,53,104,51,0,53,104,3,0,0.972
OOPSLA,2022,89,47,0,40,87,47,0,40,87,2,0,0.978
OOPSLA,2023,143,78,0,60,137,75,0,60,134,9,3,0.937
OOPSLA,2024,147,108,0,0,108,108,0,0,108,39,0,0.735
OOPSLA,2025,113,115,0,0,115,113,0,0,113,0,2,1.0
PLDI,2017,106,36,22,47,105,36,22,47,105,1,0,0.991
PLDI,2018,112,38,20,52,110,38,20,52,110,2,0,0.982
PLDI,2019,111,39,20,50,109,39,20,50,109,2,0,0.982
PLDI,2020,115,43,20,52,115,43,20,52,115,0,0,1.0
PLDI,2021,126,126,0,0,126,126,0,0,126,0,0,1.0
PLDI,2022,120,119,0,0,119,119,0,0,119,1,0,0.992
PLDI,2023,113,113,0,0,113,113,0,0,113,0,0,1.0
PLDI,2024,139,135,0,0,135,135,0,0,135,4,0,0.971
PLDI,2025,137,137,0,0,137,137,0,0,137,0,0,1.0
POPL,2017,89,29,0,59,88,29,0,59,88,1,0,0.989
POPL,2018,52,52,0,0,52,52,0,0,52,0,0,1.0
POPL,2019,52,52,0,0,52,52,0,0,52,0,0,1.0
POPL,2020,53,54,0,0,54,53,0,0,53,0,1,1.0
POPL,2021,53,52,0,0,52,52,0,0,52,1,0,0.981
POPL,2022,56,56,0,0,56,56,0,0,56,0,0,1.0
POPL,2023,84,84,0,0,84,84,0,0,84,0,0,1.0
POPL,2024,91,91,0,0,91,91,0,0,91,0,0,1.0
POPL,2025,82,82,0,0,82,82,0,0,82,0,0,1.0
