conference,year,url,final_url,status,cache_path,n_members,error
ICFP,2017,https://icfp17.hotcrp.com/users/pc,https://icfp17.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2017_hotcrp_2026-06-19.html,23,
ICFP,2018,https://icfp18.hotcrp.com/users/pc,https://icfp18.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2018_hotcrp_2026-06-19.html,63,
ICFP,2019,https://icfp19.hotcrp.com/users/pc,https://icfp19.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2019_hotcrp_2026-06-19.html,72,
ICFP,2020,https://icfp20.hotcrp.com/users/pc,https://icfp20.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2020_hotcrp_2026-06-19.html,60,
ICFP,2021,https://icfp21.hotcrp.com/users/pc,https://icfp21.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2021_hotcrp_2026-06-19.html,30,
ICFP,2022,https://icfp22.hotcrp.com/users/pc,https://icfp22.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2022_hotcrp_2026-06-19.html,42,
ICFP,2023,https://icfp23.hotcrp.com/users/pc,https://icfp23.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2023_hotcrp_2026-06-19.html,55,
ICFP,2024,https://icfp24.hotcrp.com/users/pc,https://icfp24.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2024_hotcrp_2026-06-19.html,51,
ICFP,2025,https://icfp25.hotcrp.com/users/pc,https://icfp25.hotcrp.com/users/pc,cache,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/hotcrp_htmls/icfp2025_hotcrp_2026-06-19.html,64,
OOPSLA,2017,https://oopsla17.hotcrp.com/users/pc,https://oopsla17.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2017_hotcrp_2026-06-19.html,59,
OOPSLA,2018,https://oopsla18.hotcrp.com/users/pc,https://oopsla18.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2018_hotcrp_2026-06-19.html,56,
OOPSLA,2019,https://oopsla19.hotcrp.com/users/pc,https://oopsla19.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2019_hotcrp_2026-06-19.html,66,
OOPSLA,2020,https://oopsla20.hotcrp.com/users/pc,https://oopsla20.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2020_hotcrp_2026-06-19.html,93,
OOPSLA,2021,https://oopsla21.hotcrp.com/users/pc,https://oopsla2021.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2021_hotcrp_2026-06-19.html,108,
OOPSLA,2022,https://oopsla22.hotcrp.com/users/pc,https://oopsla22.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2022_hotcrp_2026-06-19.html,89,
OOPSLA,2023,https://oopsla23.hotcrp.com/users/pc,https://oopsla23.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2023_hotcrp_2026-06-19.html,144,
OOPSLA,2024,https://oopsla24.hotcrp.com/users/pc,https://oopsla24.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2024_hotcrp_2026-06-19.html,148,
OOPSLA,2025,https://oopsla2425.hotcrp.com/users/pc,https://oopsla2425.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/hotcrp_htmls/oopsla2025_hotcrp_2026-06-19.html,114,
PLDI,2017,https://pldi17.hotcrp.com/users/pc,https://pldi17.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2017_hotcrp_2026-06-19.html,106,
PLDI,2018,https://pldi18.hotcrp.com/users/pc,https://pldi18.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2018_hotcrp_2026-06-19.html,112,
PLDI,2019,https://pldi19.hotcrp.com/users/pc,https://pldi2019.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2019_hotcrp_2026-06-19.html,111,
PLDI,2020,https://pldi20.hotcrp.com/users/pc,https://pldi2020.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2020_hotcrp_2026-06-19.html,115,
PLDI,2021,https://pldi21.hotcrp.com/users/pc,https://pldi21.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2021_hotcrp_2026-06-19.html,127,
PLDI,2022,https://pldi22.hotcrp.com/users/pc,https://pldi2022.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2022_hotcrp_2026-06-19.html,120,
