name_variant,name_canonical
Aditya Thakur,Aditya V. Thakur
Alastair Donaldson,Alastair F. Donaldson
Alexander Lew,Alexander K. Lew
Amir Kafshdar Goharshady,Amir K. Goharshady
Andrew Pitts,Andrew M. Pitts
Andrzej S. Murawski,Andrzej Murawski
Andy Gordon,Andrew D. Gordon
Angelica Moreira,Angélica Aparecida Moreira
Anthony W. Lin,Anthony Widjaja Lin
Armando The POPL Chair,Armando Solar-Lezama
Ben Livshits,Benjamin Livshits
Ben Titzer,Ben L. Titzer
Benjamin Kaminski,Benjamin Lucien Kaminski
Bill Harris,William Harris
Bob Atkey,Robert Atkey
Bruno Oliveira,Bruno C. d. S. Oliveira
Casper Bach Poulsen,Casper Bach
Charlie Murphy,Charlie Murphy
Colin S. Gordon,Colin Gordon
Corina Pasareanu,Corina S. Păsăreanu
Cristina Lopes,Crista Lopes
Cristina V. Lopes,Crista Lopes
Dalal Alrajeh,Dalal Alrajeh
Dan Licata,Daniel R. Licata
Daniel Licata,Daniel R. Licata
Daniel W. Barowy,Dan Barowy
Daniela Petrisan,Daniela Petrişan
David Bacon,David F. Bacon
David Christiansen,David Thrane Christiansen
David Pearce,David J. Pearce
David Sands,Dave Sands
Dimitri Racordon,Dimi Racordon
Earl Barr,Earl T. Barr
Emery Berger,Emery D. Berger
Erika Abraham,Erika Ábrahám
Feras Saad,Feras A. Saad
Fernando Pereira,Fernando Magno Quintão Pereira
G Ramalingam,G. Ramalingam
Garrett Morris,J. Garrett Morris
Gary Tan,Gang (Gary) Tan
Gilbert Bernstein,Gilbert Louis Bernstein
Guilhem Jaber,Guilhème Jaber
Guy Gueta,Guy Golan-Gueta
Guy L. Steele,Guy L. Steele Jr.
Guy Steele,Guy L. Steele Jr.
Hans Boehm,Hans-J. Boehm
Harley Eades,Harley D. Eades III
Harry Xu,Guoqing Harry Xu
Hoan Nguyen,Hoan Anh Nguyen
Isil Dillig,Işıl Dillig
James Wilcox,James R. Wilcox
Jan Rellermeyer,Jan S. Rellermeyer
Jeff Foster,Jeffrey S. Foster
Jeffrey Foster,Jeffrey S. Foster
Jenna DiVincenzo,Jenna DiVincenzo (Wise)
Jennifer Sartor,Jennifer B. Sartor
Jeremy Siek,Jeremy G. Siek
Joanna Cecilia da Silva Santos,Joanna C. S. Santos
Jon Sterling,Jonathan Sterling
Jorge Navas,Jorge A. Navas
Joshua Dunfield,Jana Dunfield
Julien Verlaguet,Julien Verlaguet
Kathryn Gray,Kathryn E. Gray
Kathryn S. McKinley,Kathryn S McKinley
Ken McMillan,Kenneth L. McMillan
Konstantinos Sagonas,Konstantinos (Kostis) Sagonas
Kristóf Marussy,Kristóf Marussy
Laura Castro,Laura M. Castro
Laura Kovacs,Laura Kovács
Liang-Ting Chen,Liang-Ting Chen
Madanlal Musuvathi,Madan Musuvathi
Madhusudan Parthasarathy,P. Madhusudan
Magnus Myreen,Magnus O. Myreen
Mahmut Kandemir,Mahmut Taylan Kandemir
Mangpo Phothilimthana,Phitchaya Mangpo Phothilimthana
Marie Kerjean,Marie Kerjean
Martin Rinard,Martin C. Rinard
Martin T. Vechev,Martin Vechev
Matthew Parkinson,Matthew J. Parkinson
Max New,Max S. New
Max Schäfer,Max Schaefer
Michael Bond,Michael D. Bond
Michael O'Boyle,Michael F. P. O'Boyle
Michelle Strout,Michelle Mills Strout
Mukund Raghotaman,Mukund Raghothaman
Muralidaran Vijayaraghavan,Murali Vijayaraghavan
Nathan Foster,Nate Foster
Neelakantan Krishnaswami,Neel Krishnaswami
Nguyen Kim,Kim Nguyễn
Nick Smallbone,Nicholas Smallbone
Pavel Parizek,Pavel Parízek
Peng Fu,Frank Fu
Philiip Wadler,Philip Wadler
Ras Bodik,Rastislav Bodík
Richard Eisenberg,Richard A. Eisenberg
Rishiyur Nikhil,Rishiyur S. Nikhil
Robby Findler,Robert Bruce Findler
Ryan Newton,Ryan R. Newton
Sam Guyer,Samuel Z. Guyer
Sara Baghsorkni,Sara Baghsorkhi
Sarah Chasins,Sarah E. Chasins
Sharon Shoham,Sharon Shoham Buchbinder
Shuvendu Lahiri,Shuvendu K. Lahiri
Simon Peyton-Jones,Simon Peyton Jones
Sonia Marin,Sonia Marı́n
Stefan K Muller,Stefan K. Muller
Stefan Muller,Stefan K. Muller
Stephen Fink,Stephen J Fink
Stephen Freund,Stephen N. Freund
Suparna Bhattacharya,Suparna Bhattacharya
Thomas Jensen,Thomas P. Jensen
Thomas Wenisch,Thomas F. Wenisch
Thomas Würthinger,Thomas Wuerthinger
Tien Nguyen,Tien N. Nguyen
Tom Ball,Thomas Ball
Tomas Petricek,Tomas Petricek
Trevor McDonell,Trevor L. McDonell
Uday Khedker,Uday P. Khedker
Umut Acar,Umut A. Acar
V. Krishna Nandivada,V Krishna Nandivada
Vaishnavi Sundararajan,Vaishnavi Sundararajan
Vikash Mansinghka,Vikash K. Mansinghka
Vikram Adve,Vikram S. Adve
Will Byrd,William E. Byrd
William Byrd,William E. Byrd
Yatin Manerkar,Yatin A. Manerkar
Zach Tatlock,Zachary Tatlock
Zheng Zhang,Eddy (Zheng) Zhang
