researcher_id,name,n_pc_services,n_conferences,first_year,last_year,conferences
aaronbembenek,Aaron Bembenek,1,1,2025,2025,PLDI
aaronstump,Aaron Stump,2,1,2019,2023,POPL
abhinavverma1,Abhinav Verma,1,1,2023,2023,PLDI
adamchlipala,Adam Chlipala,8,3,2017,2025,ICFP + POPL + PLDI
adamwelc,Adam Welc,2,1,2020,2021,OOPSLA
adityakanade,Aditya Kanade,2,1,2018,2021,PLDI
adityavthakur,Aditya V. Thakur,4,2,2022,2025,POPL + PLDI
adriansampson,Adrian Sampson,3,2,2018,2020,OOPSLA + PLDI
aggelosbiboudis,Aggelos Biboudis,1,1,2023,2023,ICFP
ahmedbouajjani,Ahmed Bouajjani,2,1,2021,2024,POPL
ainalinngeorges,Aina Linn Georges,1,1,2025,2025,ICFP
akashlal,Akash Lal,5,2,2017,2023,POPL + PLDI
akimasamorihata,Akimasa Morihata,1,1,2021,2021,ICFP
alanjeffrey1,Alan Jeffrey,4,2,2017,2023,ICFP + POPL
alanschmitt,Alan Schmitt,1,1,2021,2021,POPL
alastairdonaldson,Alastair F. Donaldson,6,3,2018,2024,POPL + OOPSLA + PLDI
alastairreid,Alastair Reid,2,1,2023,2024,PLDI
albertcohen,Albert Cohen,5,3,2021,2025,POPL + OOPSLA + PLDI
alcidesfonseca,Alcides Fonseca,1,1,2023,2023,PLDI
alejandroaguirre1,Alejandro Aguirre,2,2,2024,2025,POPL + OOPSLA
alejandrorusso,Alejandro Russo,2,1,2018,2024,ICFP
aleksandarnanevski,Aleksandar Nanevski,3,2,2018,2024,POPL + OOPSLA
alexanderbakst,Alexander Bakst,1,1,2025,2025,PLDI
alexanderjsummers,Alexander J. Summers,2,1,2021,2024,OOPSLA
alexanderklew,Alexander K. Lew,1,1,2025,2025,PLDI
alexandrabugariu,Alexandra Bugariu,1,1,2024,2024,OOPSLA
alexandrajimborean,Alexandra Jimborean,2,1,2020,2023,PLDI
alexandrasilva,Alexandra Silva,6,4,2017,2025,ICFP + POPL + OOPSLA + PLDI
alexandremoine,Alexandre Moine,1,1,2025,2025,ICFP
alexavanhattum1,Alexa VanHattum,1,1,2025,2025,PLDI
alexeygotsman,Alexey Gotsman,2,1,2020,2024,POPL
alexeyloginov,Alexey Loginov,1,1,2023,2023,PLDI
alexkavvos,Alex Kavvos,3,3,2022,2025,ICFP + POPL + OOPSLA
alexpotanin,Alex Potanin,4,2,2019,2025,OOPSLA + PLDI
alexreinking1,Alex Reinking,1,1,2025,2025,PLDI
alexsanchezstern2,Alex Sanchez-Stern,1,1,2024,2024,PLDI
alvincheung,Alvin Cheung,5,3,2017,2025,POPL + OOPSLA + PLDI
amalahmed,Amal Ahmed,5,3,2019,2023,POPL + OOPSLA + PLDI
amintimany,Amin Timany,3,3,2021,2025,ICFP + POPL + PLDI
amirkafshdargoharshady1,Amir K. Goharshady,1,1,2024,2024,OOPSLA
amosrobinson,Amos Robinson,1,1,2023,2023,ICFP
amrsabry,Amr Sabry,2,1,2018,2023,POPL
anamilanova,Ana Milanova,7,2,2017,2025,OOPSLA + PLDI
anasokolova,Ana Sokolova,1,1,2021,2021,POPL
andersmiltner1,Anders Miltner,2,1,2022,2024,PLDI
andersmoller,Anders Møller,5,2,2017,2024,OOPSLA + PLDI
andraskovacs,András Kovács,1,1,2025,2025,ICFP
andreasabel,Andreas Abel,4,2,2019,2025,ICFP + POPL
