conference,year,committee_type,url,final_url,status,cache_path,n_members,error
ICFP,2017,EPC,,,no_page,,0,
ICFP,2018,EPC,,,no_page,,0,
ICFP,2019,EPC,,,no_page,,0,
ICFP,2020,EPC,,,no_page,,0,
ICFP,2021,EPC,,,no_page,,0,
ICFP,2022,EPC,,,no_page,,0,
ICFP,2023,EPC,,,no_page,,0,
ICFP,2024,EPC,,,no_page,,0,
ICFP,2025,EPC,,,no_page,,0,
OOPSLA,2017,EPC,https://2017.splashcon.org/committee/splash-2017-oopsla-external-program-committee,https://2017.splashcon.org/committee/splash-2017-oopsla-external-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_epc_htmls/oopsla2017_epc_2026-06-19.html,28,
OOPSLA,2018,EPC,https://2018.splashcon.org/committee/splash-2018-oopsla-external-program-committee,https://2018.splashcon.org/committee/splash-2018-oopsla-external-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_epc_htmls/oopsla2018_epc_2026-06-19.html,26,
OOPSLA,2019,EPC,,,no_page,,0,
OOPSLA,2020,EPC,,,no_page,,0,
OOPSLA,2021,EPC,,,no_page,,0,
OOPSLA,2022,EPC,,,no_page,,0,
OOPSLA,2023,EPC,,,no_page,,0,
OOPSLA,2024,EPC,,,no_page,,0,
OOPSLA,2025,EPC,,,no_page,,0,
PLDI,2017,EPC,https://pldi17.sigplan.org/committee/pldi-2017-external-program-committee,https://pldi17.sigplan.org/committee/pldi-2017-external-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_epc_htmls/pldi2017_epc_2026-06-19.html,22,
PLDI,2018,EPC,https://pldi18.sigplan.org/committee/pldi-2018-external-program-committee,https://pldi18.sigplan.org/committee/pldi-2018-external-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_epc_htmls/pldi2018_epc_2026-06-19.html,20,
PLDI,2019,EPC,https://pldi19.sigplan.org/committee/pldi-2019-papers-external-program-committee,https://pldi19.sigplan.org/committee/pldi-2019-papers-external-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_epc_htmls/pldi2019_epc_2026-06-19.html,20,
PLDI,2020,EPC,https://pldi20.sigplan.org/committee/pldi-2020-papers-external-program-committee,https://pldi20.sigplan.org/committee/pldi-2020-papers-external-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_epc_htmls/pldi2020_epc_2026-06-19.html,20,
PLDI,2021,EPC,,,no_page,,0,
PLDI,2022,EPC,,,no_page,,0,
PLDI,2023,EPC,,,no_page,,0,
PLDI,2024,EPC,,,no_page,,0,
PLDI,2025,EPC,,,no_page,,0,
POPL,2017,EPC,,,no_page,,0,
POPL,2018,EPC,,,no_page,,0,
POPL,2019,EPC,,,no_page,,0,
POPL,2020,EPC,,,no_page,,0,
POPL,2021,EPC,,,no_page,,0,
POPL,2022,EPC,,,no_page,,0,
POPL,2023,EPC,,,no_page,,0,
POPL,2024,EPC,,,no_page,,0,
POPL,2025,EPC,,,no_page,,0,
ICFP,2017,ERC,,,no_page,,0,
ICFP,2018,ERC,https://icfp18.sigplan.org/committee/icfp-2018-papers-external-review-committee,https://icfp18.sigplan.org/committee/icfp-2018-papers-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_erc_htmls/icfp2018_erc_2026-06-19.html,43,
ICFP,2019,ERC,https://icfp19.sigplan.org/committee/icfp-2019-papers-external-review-committee,https://icfp19.sigplan.org/committee/icfp-2019-papers-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_erc_htmls/icfp2019_erc_2026-06-19.html,51,
ICFP,2020,ERC,https://icfp20.sigplan.org/committee/icfp-2020-papers-external-review-committee,https://icfp20.sigplan.org/committee/icfp-2020-papers-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_erc_htmls/icfp2020_erc_2026-06-19.html,42,
ICFP,2021,ERC,,,no_page,,0,
ICFP,2022,ERC,,,no_page,,0,
ICFP,2023,ERC,,,no_page,,0,
ICFP,2024,ERC,,,no_page,,0,
ICFP,2025,ERC,,,no_page,,0,
OOPSLA,2017,ERC,,,no_page,,0,
OOPSLA,2018,ERC,,,no_page,,0,
OOPSLA,2019,ERC,https://2019.splashcon.org/committee/splash-2019-oopsla-external-review-committee,https://2019.splashcon.org/committee/splash-2019-oopsla-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2019_erc_2026-06-19.html,32,
OOPSLA,2020,ERC,https://2020.splashcon.org/committee/splash-2020-oopsla-external-review-committee,https://2020.splashcon.org/committee/splash-2020-oopsla-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2020_erc_2026-06-19.html,61,
OOPSLA,2021,ERC,https://2021.splashcon.org/committee/splash-2021-oopsla-external-review-committee,https://2021.splashcon.org/committee/splash-2021-oopsla-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2021_erc_2026-06-19.html,53,
OOPSLA,2022,ERC,https://2022.splashcon.org/committee/splash-2022-oopsla-external-review---artifact-evaluation-committee,https://2022.splashcon.org/committee/splash-2022-oopsla-external-review---artifact-evaluation-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2022_erc_2026-06-19.html,40,
OOPSLA,2023,ERC,https://2023.splashcon.org/committee/splash-2023-oopsla-external-review---artifact-evaluation-committee,https://2023.splashcon.org/committee/splash-2023-oopsla-external-review---artifact-evaluation-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2023_erc_2026-06-19.html,60,
OOPSLA,2024,ERC,,,no_page,,0,
OOPSLA,2025,ERC,https://2025.splashcon.org/committee/splash-2025-OOPSLA-1-external-review---artifact-evaluation-committee,https://2025.splashcon.org/committee/splash-2025-OOPSLA-1-external-review---artifact-evaluation-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2025_erc_2026-06-19.html,0,
PLDI,2017,ERC,https://pldi17.sigplan.org/committee/pldi-2017-external-review-committee,https://pldi17.sigplan.org/committee/pldi-2017-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_erc_htmls/pldi2017_erc_2026-06-19.html,47,
