conference,year,url,final_url,status,cache_path,n_members,error
ICFP,2017,https://icfp17.sigplan.org/committee/icfp-2017-papers-program-committee,https://icfp17.sigplan.org/committee/icfp-2017-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2017_pc_2026-06-19.html,23,
ICFP,2018,https://icfp18.sigplan.org/committee/icfp-2018-papers-program-committee,https://icfp18.sigplan.org/committee/icfp-2018-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2018_pc_2026-06-19.html,18,
ICFP,2019,https://icfp19.sigplan.org/committee/icfp-2019-papers-program-committee,https://icfp19.sigplan.org/committee/icfp-2019-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2019_pc_2026-06-19.html,20,
ICFP,2020,https://icfp20.sigplan.org/committee/icfp-2020-papers-program-committee,https://icfp20.sigplan.org/committee/icfp-2020-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2020_pc_2026-06-19.html,17,
ICFP,2021,https://icfp21.sigplan.org/committee/icfp-2021-papers-program-committee,https://icfp21.sigplan.org/committee/icfp-2021-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2021_pc_2026-06-19.html,30,
ICFP,2022,https://icfp22.sigplan.org/committee/icfp-2022-papers-program-committee,https://icfp22.sigplan.org/committee/icfp-2022-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2022_pc_2026-06-19.html,42,
ICFP,2023,https://icfp23.sigplan.org/committee/icfp-2023-papers-program-committee,https://icfp23.sigplan.org/committee/icfp-2023-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2023_pc_2026-06-19.html,54,
ICFP,2024,https://icfp24.sigplan.org/committee/icfp-2024-papers-icfp-papers-and-events,https://icfp24.sigplan.org/committee/icfp-2024-papers-icfp-papers-and-events,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2024_pc_2026-06-19.html,51,
ICFP,2025,https://icfp25.sigplan.org/committee/icfp-2025-papers-icfp-papers-and-events,https://icfp25.sigplan.org/committee/icfp-2025-papers-icfp-papers-and-events,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/icfp/researchr_pc_htmls/icfp2025_pc_2026-06-19.html,63,
OOPSLA,2017,https://2017.splashcon.org/committee/splash-2017-oopsla-program-committee,https://2017.splashcon.org/committee/splash-2017-oopsla-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2017_pc_2026-06-19.html,31,
OOPSLA,2018,https://2018.splashcon.org/committee/splash-2018-oopsla-committee,https://2018.splashcon.org/committee/splash-2018-oopsla-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2018_pc_2026-06-19.html,30,
OOPSLA,2019,https://2019.splashcon.org/committee/splash-2019-oopsla-review-committee,https://2019.splashcon.org/committee/splash-2019-oopsla-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2019_pc_2026-06-19.html,32,
OOPSLA,2020,https://2020.splashcon.org/committee/splash-2020-oopsla-review-committee,https://2020.splashcon.org/committee/splash-2020-oopsla-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2020_pc_2026-06-19.html,32,
OOPSLA,2021,https://2021.splashcon.org/committee/splash-2021-oopsla-review-committee,https://2021.splashcon.org/committee/splash-2021-oopsla-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2021_pc_2026-06-19.html,51,
OOPSLA,2022,https://2022.splashcon.org/committee/splash-2022-psla-review-committee,https://2022.splashcon.org/committee/splash-2022-psla-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2022_pc_2026-06-19.html,47,
OOPSLA,2023,https://2023.splashcon.org/committee/splash-2023-oopsla-review-committee,https://2023.splashcon.org/committee/splash-2023-oopsla-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2023_pc_2026-06-19.html,78,
OOPSLA,2024,https://2024.splashcon.org/committee/splash-2024-papers-review-committee,https://2024.splashcon.org/committee/splash-2024-papers-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2024_pc_2026-06-19.html,108,
OOPSLA,2025,https://2025.splashcon.org/committee/splash-2025-OOPSLA-oopsla-review-committee,https://2025.splashcon.org/committee/splash-2025-OOPSLA-oopsla-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2025_pc_2026-06-19.html,115,
PLDI,2017,https://conf.researchr.org/committee/pldi-2017/pldi-2017-program-committee,https://conf.researchr.org/committee/pldi-2017/pldi-2017-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2017_pc_2026-06-19.html,36,
PLDI,2018,https://conf.researchr.org/committee/pldi-2018/pldi-2018-program-committee,https://conf.researchr.org/committee/pldi-2018/pldi-2018-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2018_pc_2026-06-19.html,38,
PLDI,2019,https://conf.researchr.org/committee/pldi-2019/pldi-2019-papers-program-committee,https://conf.researchr.org/committee/pldi-2019/pldi-2019-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2019_pc_2026-06-19.html,39,
PLDI,2020,https://conf.researchr.org/committee/pldi-2020/pldi-2020-papers-program-committee,https://conf.researchr.org/committee/pldi-2020/pldi-2020-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2020_pc_2026-06-19.html,43,
PLDI,2021,https://conf.researchr.org/committee/pldi-2021/pldi-2021-papers-program-committee,https://conf.researchr.org/committee/pldi-2021/pldi-2021-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2021_pc_2026-06-19.html,126,
PLDI,2022,https://conf.researchr.org/committee/pldi-2022/pldi-2022-pldi-program-committee,https://conf.researchr.org/committee/pldi-2022/pldi-2022-pldi-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2022_pc_2026-06-19.html,119,
PLDI,2023,https://pldi23.sigplan.org/committee/pldi-2023-pldi-review-committee,https://pldi23.sigplan.org/committee/pldi-2023-pldi-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2023_pc_2026-06-19.html,113,
PLDI,2024,https://pldi24.sigplan.org/committee/pldi-2024-papers-pldi-review-committee,https://pldi24.sigplan.org/committee/pldi-2024-papers-pldi-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2024_pc_2026-06-19.html,135,
