source,conference,year,n_members,available
Researchr PC,ICFP,2017,23.0,True
Researchr PC,POPL,2017,29.0,True
Researchr PC,OOPSLA,2017,31.0,True
Researchr PC,PLDI,2017,36.0,True
Researchr PC,ICFP,2018,18.0,True
Researchr PC,POPL,2018,52.0,True
Researchr PC,OOPSLA,2018,30.0,True
Researchr PC,PLDI,2018,38.0,True
Researchr PC,ICFP,2019,20.0,True
Researchr PC,POPL,2019,52.0,True
Researchr PC,OOPSLA,2019,32.0,True
Researchr PC,PLDI,2019,39.0,True
Researchr PC,ICFP,2020,17.0,True
Researchr PC,POPL,2020,54.0,True
Researchr PC,OOPSLA,2020,32.0,True
Researchr PC,PLDI,2020,43.0,True
Researchr PC,ICFP,2021,30.0,True
Researchr PC,POPL,2021,52.0,True
Researchr PC,OOPSLA,2021,51.0,True
Researchr PC,PLDI,2021,126.0,True
Researchr PC,ICFP,2022,42.0,True
Researchr PC,POPL,2022,56.0,True
Researchr PC,OOPSLA,2022,47.0,True
Researchr PC,PLDI,2022,119.0,True
Researchr PC,ICFP,2023,54.0,True
Researchr PC,POPL,2023,84.0,True
Researchr PC,OOPSLA,2023,78.0,True
Researchr PC,PLDI,2023,113.0,True
Researchr PC,ICFP,2024,51.0,True
Researchr PC,POPL,2024,91.0,True
Researchr PC,OOPSLA,2024,108.0,True
Researchr PC,PLDI,2024,135.0,True
Researchr PC,ICFP,2025,63.0,True
Researchr PC,POPL,2025,82.0,True
Researchr PC,OOPSLA,2025,115.0,True
Researchr PC,PLDI,2025,137.0,True
Researchr EPC/ERC,ICFP,2017,,False
Researchr EPC/ERC,POPL,2017,59.0,True
Researchr EPC/ERC,OOPSLA,2017,28.0,True
Researchr EPC/ERC,PLDI,2017,69.0,True
Researchr EPC/ERC,ICFP,2018,43.0,True
Researchr EPC/ERC,POPL,2018,,False
Researchr EPC/ERC,OOPSLA,2018,26.0,True
Researchr EPC/ERC,PLDI,2018,72.0,True
Researchr EPC/ERC,ICFP,2019,51.0,True
Researchr EPC/ERC,POPL,2019,,False
Researchr EPC/ERC,OOPSLA,2019,32.0,True
Researchr EPC/ERC,PLDI,2019,70.0,True
Researchr EPC/ERC,ICFP,2020,42.0,True
Researchr EPC/ERC,POPL,2020,,False
Researchr EPC/ERC,OOPSLA,2020,61.0,True
Researchr EPC/ERC,PLDI,2020,72.0,True
Researchr EPC/ERC,ICFP,2021,,False
Researchr EPC/ERC,POPL,2021,,False
Researchr EPC/ERC,OOPSLA,2021,53.0,True
Researchr EPC/ERC,PLDI,2021,,False
Researchr EPC/ERC,ICFP,2022,,False
Researchr EPC/ERC,POPL,2022,,False
Researchr EPC/ERC,OOPSLA,2022,40.0,True
Researchr EPC/ERC,PLDI,2022,,False
Researchr EPC/ERC,ICFP,2023,,False
Researchr EPC/ERC,POPL,2023,,False
Researchr EPC/ERC,OOPSLA,2023,60.0,True
Researchr EPC/ERC,PLDI,2023,,False
Researchr EPC/ERC,ICFP,2024,,False
Researchr EPC/ERC,POPL,2024,,False
Researchr EPC/ERC,OOPSLA,2024,,False
Researchr EPC/ERC,PLDI,2024,,False
Researchr EPC/ERC,ICFP,2025,,False
Researchr EPC/ERC,POPL,2025,,False
Researchr EPC/ERC,OOPSLA,2025,0.0,True
Researchr EPC/ERC,PLDI,2025,,False
HotCRP,ICFP,2017,23.0,True
HotCRP,POPL,2017,89.0,True
HotCRP,OOPSLA,2017,59.0,True
HotCRP,PLDI,2017,106.0,True
HotCRP,ICFP,2018,63.0,True
HotCRP,POPL,2018,52.0,True
HotCRP,OOPSLA,2018,56.0,True
HotCRP,PLDI,2018,112.0,True
HotCRP,ICFP,2019,72.0,True
HotCRP,POPL,2019,52.0,True
HotCRP,OOPSLA,2019,66.0,True
HotCRP,PLDI,2019,111.0,True
HotCRP,ICFP,2020,60.0,True
HotCRP,POPL,2020,53.0,True
HotCRP,OOPSLA,2020,93.0,True
HotCRP,PLDI,2020,115.0,True
HotCRP,ICFP,2021,30.0,True
HotCRP,POPL,2021,53.0,True
HotCRP,OOPSLA,2021,107.0,True
HotCRP,PLDI,2021,126.0,True
HotCRP,ICFP,2022,42.0,True
HotCRP,POPL,2022,56.0,True
HotCRP,OOPSLA,2022,89.0,True
HotCRP,PLDI,2022,120.0,True
HotCRP,ICFP,2023,55.0,True
HotCRP,POPL,2023,84.0,True
HotCRP,OOPSLA,2023,143.0,True
HotCRP,PLDI,2023,113.0,True
HotCRP,ICFP,2024,51.0,True
HotCRP,POPL,2024,91.0,True
HotCRP,OOPSLA,2024,147.0,True
HotCRP,PLDI,2024,139.0,True
HotCRP,ICFP,2025,63.0,True
HotCRP,POPL,2025,82.0,True
HotCRP,OOPSLA,2025,113.0,True
HotCRP,PLDI,2025,137.0,True
