conference,conference_year,pdf_count,pdf_paths
ICFP,2017,1,assets/validation_pdfs/icfp/icfp_2017_acm_frontmatter_2026-05-08.pdf
ICFP,2018,1,assets/validation_pdfs/icfp/icfp_2018_acm_frontmatter_2026-05-08.pdf
ICFP,2019,1,assets/validation_pdfs/icfp/icfp_2019_acm_frontmatter_2026-05-08.pdf
ICFP,2020,1,assets/validation_pdfs/icfp/icfp_2020_acm_frontmatter_2026-05-08.pdf
ICFP,2021,1,assets/validation_pdfs/icfp/icfp_2021_acm_frontmatter_2026-05-08.pdf
ICFP,2022,1,assets/validation_pdfs/icfp/icfp_2022_acm_frontmatter_2026-05-08.pdf
ICFP,2023,1,assets/validation_pdfs/icfp/icfp_2023_acm_frontmatter_2026-05-08.pdf
ICFP,2024,1,assets/validation_pdfs/icfp/icfp_2024_acm_frontmatter_2026-05-08.pdf
ICFP,2025,1,assets/validation_pdfs/icfp/icfp_2025_acm_frontmatter_2026-05-08.pdf
OOPSLA,2017,1,assets/validation_pdfs/oopsla/oopsla_2017_acm_frontmatter_2026-05-08.pdf
OOPSLA,2018,1,assets/validation_pdfs/oopsla/oopsla_2018_acm_frontmatter_2026-05-08.pdf
OOPSLA,2019,1,assets/validation_pdfs/oopsla/oopsla_2019_acm_frontmatter_2026-05-08.pdf
OOPSLA,2020,1,assets/validation_pdfs/oopsla/oopsla_2020_acm_frontmatter_2026-05-08.pdf
OOPSLA,2021,1,assets/validation_pdfs/oopsla/oopsla_2021_acm_frontmatter_2026-05-08.pdf
OOPSLA1,2022,1,assets/validation_pdfs/oopsla/oopsla_2022_oopsla1_acm_frontmatter_2026-05-08.pdf
OOPSLA1,2023,1,assets/validation_pdfs/oopsla/oopsla_2023_oopsla1_acm_frontmatter_2026-05-08.pdf
OOPSLA1,2024,1,assets/validation_pdfs/oopsla/oopsla_2024_oopsla1_acm_frontmatter_2026-05-08.pdf
OOPSLA1,2025,1,assets/validation_pdfs/oopsla/oopsla_2025_oopsla1_acm_frontmatter_2026-05-08.pdf
OOPSLA2,2022,1,assets/validation_pdfs/oopsla/oopsla_2022_oopsla2_acm_frontmatter_2026-05-08.pdf
OOPSLA2,2023,1,assets/validation_pdfs/oopsla/oopsla_2023_oopsla2_acm_frontmatter_2026-05-08.pdf
OOPSLA2,2024,1,assets/validation_pdfs/oopsla/oopsla_2024_oopsla2_acm_frontmatter_2026-05-08.pdf
OOPSLA2,2025,1,assets/validation_pdfs/oopsla/oopsla_2025_oopsla2_acm_frontmatter_2026-05-08.pdf
PLDI,2017,1,assets/validation_pdfs/pldi/pldi_2017_acm_frontmatter_2026-05-08.pdf
PLDI,2018,1,assets/validation_pdfs/pldi/pldi_2018_acm_frontmatter_2026-05-08.pdf
PLDI,2019,1,assets/validation_pdfs/pldi/pldi_2019_acm_frontmatter_2026-05-08.pdf
PLDI,2020,1,assets/validation_pdfs/pldi/pldi_2020_acm_frontmatter_2026-05-08.pdf
PLDI,2021,1,assets/validation_pdfs/pldi/pldi_2021_acm_frontmatter_2026-05-08.pdf
PLDI,2022,1,assets/validation_pdfs/pldi/pldi_2022_acm_frontmatter_2026-05-08.pdf
PLDI,2023,1,assets/validation_pdfs/pldi/pldi_2023_acm_frontmatter_2026-05-08.pdf
PLDI,2024,1,assets/validation_pdfs/pldi/pldi_2024_acm_frontmatter_2026-05-08.pdf
PLDI,2025,1,assets/validation_pdfs/pldi/pldi_2025_acm_frontmatter_2026-05-08.pdf
POPL,2018,1,assets/validation_pdfs/popl/popl_2018_acm_frontmatter_2026-05-08.pdf
POPL,2019,1,assets/validation_pdfs/popl/popl_2019_acm_frontmatter_2026-05-08.pdf
POPL,2020,1,assets/validation_pdfs/popl/popl_2020_acm_frontmatter_2026-05-08.pdf
POPL,2021,1,assets/validation_pdfs/popl/popl_2021_acm_frontmatter_2026-05-08.pdf
POPL,2022,1,assets/validation_pdfs/popl/popl_2022_acm_frontmatter_2026-05-08.pdf
POPL,2023,1,assets/validation_pdfs/popl/popl_2023_acm_frontmatter_2026-05-08.pdf
POPL,2024,1,assets/validation_pdfs/popl/popl_2024_acm_frontmatter_2026-05-08.pdf
POPL,2025,1,assets/validation_pdfs/popl/popl_2025_acm_frontmatter_2026-05-08.pdf
