conference,conference_year,doi,dblp_title,dblp_url
PLDI,2017,https://doi.org/10.1145/3062341.3062366,"Low-synchronization, mostly lock-free, elastic scheduling for streaming runtimes.",https://dblp.org/rec/conf/pldi/0001W17
PLDI,2017,https://doi.org/10.1145/3062341.3062384,Flatten and conquer: a framework for efficient analysis of string constraints.,https://dblp.org/rec/conf/pldi/AbdullaACDHRR17
PLDI,2017,https://doi.org/10.1145/3062341.3062378,Decomposition instead of self-composition for proving the absence of timing channels.,https://dblp.org/rec/conf/pldi/AntonopoulosGHK17
PLDI,2017,https://doi.org/10.1145/3062341.3062349,Synthesizing program input grammars.,https://dblp.org/rec/conf/pldi/Bastani0AL17
PLDI,2017,https://doi.org/10.1145/3062341.3062367,Network configuration synthesis with abstract topologies.,https://dblp.org/rec/conf/pldi/BeckettMMPW17
PLDI,2017,https://doi.org/10.1145/3062341.3062364,Systematic black-box analysis of collaborative web applications.,https://dblp.org/rec/conf/pldi/BillesMP17
PLDI,2017,https://doi.org/10.1145/3062341.3062353,Synthesizing memory models from framework sketches and Litmus tests.,https://dblp.org/rec/conf/pldi/BornholtT17
PLDI,2017,https://doi.org/10.1145/3062341.3062358,A formally verified compiler for Lustre.,https://dblp.org/rec/conf/pldi/BourkeBDLPR17
PLDI,2017,https://doi.org/10.1145/3062341.3062356,Proactive and adaptive energy-aware programming with mixed typechecking.,https://dblp.org/rec/conf/pldi/CaninoL17
PLDI,2017,https://doi.org/10.1145/3062341.3062344,Instruction punning: lightweight instrumentation for x86-64.,https://dblp.org/rec/conf/pldi/ChamithSDN17
PLDI,2017,https://doi.org/10.1145/3062341.3062348,HoTTSQL: proving query rewrites with univalent SQL semantics.,https://dblp.org/rec/conf/pldi/ChuWCS17
PLDI,2017,https://doi.org/10.1145/3062341.3062371,Low overhead dynamic binary translation on ARM.,https://dblp.org/rec/conf/pldi/DAntrasGGL17
PLDI,2017,https://doi.org/10.1145/3062341.3062387,Similarity of binaries through re-optimization.,https://dblp.org/rec/conf/pldi/DavidPY17
PLDI,2017,https://doi.org/10.1145/3062341.3062377,Generalizations of the theory and deployment of triangular inequality for compiler-based strength reduction.,https://dblp.org/rec/conf/pldi/DingNGS17
PLDI,2017,https://doi.org/10.1145/3062341.3062388,Rigorous analysis of software countermeasures against cache attacks.,https://dblp.org/rec/conf/pldi/DoychevK17
PLDI,2017,https://doi.org/10.1145/3062341.3062357,Levity polymorphism.,https://dblp.org/rec/conf/pldi/EisenbergJ17
PLDI,2017,https://doi.org/10.1145/3062341.3062342,BARRACUDA: binary-level analysis of runtime RAces in CUDA programs.,https://dblp.org/rec/conf/pldi/EizenbergPPMD17
PLDI,2017,https://doi.org/10.1145/3062341.3062355,Synthesis of divide and conquer parallelism for loops.,https://dblp.org/rec/conf/pldi/FarzanN17
PLDI,2017,https://doi.org/10.1145/3062341.3062382,Gradual synthesis for static parallelization of single-pass array-processing programs.,https://dblp.org/rec/conf/pldi/FedyukovichAB17
PLDI,2017,https://doi.org/10.1145/3062341.3062351,Component-based synthesis of table consolidation and transformation tasks from examples.,https://dblp.org/rec/conf/pldi/FengMGDC17
PLDI,2017,https://doi.org/10.1145/3062341.3062383,Achieving high coverage for floating-point code via unconstrained programming.,https://dblp.org/rec/conf/pldi/FuS17
PLDI,2017,https://doi.org/10.1145/3062341.3062363,Bringing the web up to speed with WebAssembly.,https://dblp.org/rec/conf/pldi/HaasRSTHGWZB17
PLDI,2017,https://doi.org/10.1145/3062341.3062354,Futhark: purely functional GPU-programming with nested parallelism and in-place array updates.,https://dblp.org/rec/conf/pldi/HenriksenSEHO17
PLDI,2017,https://doi.org/10.1145/3062341.3062345,Automatic program inversion using symbolic transducers.,https://dblp.org/rec/conf/pldi/HuD17
PLDI,2017,https://doi.org/10.1145/3062341.3062375,Compiling Markov chain Monte Carlo algorithms for probabilistic modeling.,https://dblp.org/rec/conf/pldi/HuangTM17
PLDI,2017,https://doi.org/10.1145/3062341.3062376,"Simple, fast, and safe manual memory management.",https://dblp.org/rec/conf/pldi/KediaCPVVB17
PLDI,2017,https://doi.org/10.1145/3062341.3062373,Compositional recurrence analysis revisited.,https://dblp.org/rec/conf/pldi/KincaidBBR17
PLDI,2017,https://doi.org/10.1145/3062341.3062374,Dynamic race prediction in linear time.,https://dblp.org/rec/conf/pldi/KiniM017
