conference,conference_year,n_papers,n_reference_edges,n_unique_cited_works,n_edges_with_author_metadata,share_edges_with_author_metadata
ICFP,2017,44,1758,1503,1668,0.9488
ICFP,2018,40,1551,1380,1475,0.951
ICFP,2019,39,1496,1310,1411,0.9432
ICFP,2020,36,1468,1260,1381,0.9407
ICFP,2021,35,1702,1498,1606,0.9436
ICFP,2022,35,1456,1281,1355,0.9306
ICFP,2023,33,1279,1153,1213,0.9484
ICFP,2024,35,1248,1111,1175,0.9415
ICFP,2025,36,1284,1139,1199,0.9338
OOPSLA,2017,66,3004,2614,2893,0.963
OOPSLA,2018,60,2739,2423,2614,0.9544
OOPSLA,2019,73,3396,2991,3205,0.9438
OOPSLA,2020,108,4664,4015,4275,0.9166
OOPSLA,2021,71,3000,2661,2785,0.9283
OOPSLA1,2022,24,988,947,916,0.9271
OOPSLA1,2023,31,1299,1236,1192,0.9176
OOPSLA1,2024,53,2154,2003,1925,0.8937
OOPSLA1,2025,67,3215,2925,2896,0.9008
OOPSLA2,2022,68,2922,2631,2668,0.9131
OOPSLA2,2023,78,3171,2873,2944,0.9284
OOPSLA2,2024,95,3829,3336,3641,0.9509
OOPSLA2,2025,148,6274,5238,5810,0.926
PLDI,2017,47,2096,1872,1944,0.9275
PLDI,2018,55,2568,2311,2442,0.9509
PLDI,2019,76,3644,3251,3380,0.9276
PLDI,2020,76,3069,2735,2819,0.9185
PLDI,2021,87,4253,3707,3992,0.9386
PLDI,2022,68,2848,2542,2636,0.9256
PLDI,2023,83,3391,2916,3098,0.9136
PLDI,2024,89,4151,3628,3810,0.9179
PLDI,2025,88,3774,3309,3541,0.9383
POPL,2018,66,3153,2619,3024,0.9591
POPL,2019,77,3538,2915,3350,0.9469
POPL,2020,68,2755,2428,2607,0.9463
POPL,2021,61,2650,2361,2467,0.9309
POPL,2022,65,2832,2503,2626,0.9273
POPL,2023,74,3061,2686,2780,0.9082
POPL,2024,93,4886,4083,4473,0.9155
POPL,2025,79,3601,2989,3343,0.9284
