path,stage,rows,columns,size_mb
step_1_data/intermediate/acm_pdf_service_mentions.parquet,intermediate,11977,8,0.083
step_1_data/intermediate/hotcrp_members.parquet,intermediate,3032,8,0.04
step_1_data/intermediate/hotcrp_researchr_name_comparison.parquet,intermediate,3029,22,0.175
step_1_data/intermediate/pc_members_with_first_service.parquet,intermediate,2180,31,0.178
step_1_data/intermediate/pc_service_evidence.parquet,intermediate,19288,8,0.088
step_1_data/intermediate/researchr_epc_members.parquet,intermediate,136,12,0.015
step_1_data/intermediate/researchr_erc_members.parquet,intermediate,642,12,0.038
step_1_data/intermediate/researchr_external_members.parquet,intermediate,778,12,0.043
step_1_data/intermediate/researchr_pc_members.parquet,intermediate,2180,12,0.098
step_1_data/intermediate/researchr_profile_fetch_log.parquet,intermediate,958,9,0.088
step_1_data/intermediate/researchr_profile_services.parquet,intermediate,15319,10,0.164
step_1_data/prepared/pc_first_service_evidence.parquet,prepared,1501,17,0.059
step_1_data/prepared/pc_members.parquet,prepared,2180,17,0.141
step_2_data/intermediate/paper_title_checks/paper_title_matching_summary.parquet,intermediate,39,10,0.007
step_2_data/intermediate/paper_title_checks/paper_title_matching_validation.parquet,intermediate,2532,22,0.236
step_2_data/intermediate/paper_title_checks/pdf_to_data_title_check.parquet,intermediate,35,8,0.006
step_2_data/intermediate/paper_title_checks/title_check_pdf_inventory.parquet,intermediate,39,4,0.003
step_2_data/intermediate/paper_title_checks/title_check_per_paper.parquet,intermediate,2528,10,0.134
step_2_data/intermediate/paper_title_checks/title_check_summary.parquet,intermediate,39,6,0.004
step_2_data/prepared/all_papers/all_papers_filtered.parquet,prepared,2528,13,0.922
step_2_data/prepared/pacmpl_papers/pacmpl_filtered.parquet,prepared,1858,11,0.706
step_2_data/prepared/pldi_papers/pldi_filtered.parquet,prepared,670,12,0.321
step_2_data/raw/pacmpl_papers/pacmpl_master.parquet,raw,2448,10,0.884
