title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
tools and algorithms for the construction and analysis of systems,15,Tools and Algorithms for the Construction and Analysis of Systems,W1639713563; W1662203549; W2487425287; W2490811891; W2493946278; W2499905456; W2799644178; W2904270376; W2904982962; W3032952463; W4302078184; W4302155065; W4366379428; W4393943383; W4410034306,"1998, 2001, 2009, 2010, 2011, 2012, 2015, 2016, 2017, 2018, 2019, 2021, 2023, 2024, 2025",114
introduction to algorithms,12,Introduction to Algorithms,W2752573522; W2752885492; W2946046356; W3019365222; W3145128584; W3183881215; W4210727445; W4233225156; W4246219036; W4255405898; W4372046852; W7029321148,"1990, 1991, 1996, 2005, 2008, 2009, 2018, 2020, 2021, 2023",97
computer aided verification,12,Computer Aided Verification,W2238621239; W2496887306; W2498950568; W2499720498; W2504797558; W3151801563; W333239218; W4211190311; W4231545092; W4299694611; W4300004495; W4412544302,"1993, 1999, 2006, 2010, 2014, 2015, 2016, 2017, 2021, 2025",30
programming languages and systems,11,Programming Languages and Systems,W1587388778; W1611801415; W2490124688; W2491912653; W2493168904; W2611899580; W4226316596; W4388917161; W4403844439; W4410041842; W6959300197,"2006, 2009, 2010, 2012, 2014, 2016, 2022, 2023, 2024, 2025",68
the coq proof assistant,11,The Coq Proof Assistant,W4205631450; W6893240590; W6893793464; W6893957906; W6912190407; W6912435185; W6931325406; W6931651971; W6967597849; W6968821612; W6968929699,"2018, 2019, 2020, 2021, 2022, 2023, 2024",32
foundations of software science and computation structures,8,Foundations of Software Science and Computation Structures,W2136038607; W2476467509; W2487685844; W2489340449; W2504714231; W2796377482; W2954733742; W4409970543,"1999, 2002, 2006, 2013, 2018, 2019, 2023, 2025",37
experience report,7,Experience report,W2044948261; W2076015358; W2076668269; W2104644663; W2810740094; W4242465446; W4248114214,"2009, 2010, 2012, 2013, 2014, 2018",32
brief announcement,6,Brief announcement,W2009454615; W2098297530; W2470481370; W2738549499; W2809017009; W2809417046,"2012, 2014, 2016, 2017, 2018",85
probability and measure,6,Probability and Measure.,W2056099894; W2188564768; W4298443330; W4300577719; W4302114916; W616791181,"1983, 1987, 1996, 2009, 2010",24
dynamo,5,Dynamo,W2072737419; W2153704625; W4231002400; W4232576303; W4249823756,"2000, 2007, 2011",171
grace,5,GRace,W2117444998; W2145087641; W2149686793; W3163798569; W4249224771,"2009, 2011, 2012",44
transactional memory,5,Transactional memory,W2113751407; W2340530615; W2955325419; W4244083566; W4298077439,"1993, 2007, 2008, 2010",35
typed lambda calculi and applications,5,Typed Lambda Calculi and Applications,W1551845476; W2492925914; W2496237713; W4230690659; W4290007157,"1995, 2001, 2007, 2009, 2011",22
trends in functional programming,5,Trends in Functional Programming,W4205435528; W4290977268; W4406166094; W606382780; W78774630,"2013, 2016, 2019, 2021, 2025",19
distributed algorithms,5,Distributed Algorithms,W2762951336; W3106753174; W4214885550; W4376598654; W7056210342,"1988, 1991, 1996, 2007, 2017",16
practical aspects of declarative languages,5,Practical Aspects of Declarative Languages,W175992194; W2477687312; W2482434465; W2489015453; W4302790834,"2000, 2005, 2007, 2010, 2011",14
cirq,5,Cirq,W6892474053; W6892755627; W6912699698; W6912769805; W6969089189,"2021, 2022, 2023, 2024, 2025",9
combinatorial sketching for finite programs,4,Combinatorial sketching for finite programs,W2149236697; W2997049506; W3008793775; W3022427679,2006,455
nv heaps,4,NV-Heaps,W2150662965; W4205643817; W4244155122; W4254305400,"2011, 2012",196
scaling up superoptimization,4,Scaling up Superoptimization,W2330908417; W4229517606; W4235240618; W4251429682,2016,128
mnemosyne,4,Mnemosyne,W2113637091; W4229634447; W4241595689; W4241729479,"2011, 2012",87
weak ordering a new definition,4,Weak ordering—a new definition,W2152390090; W3004250778; W4206635466; W4229517165,"1990, 1998, 2002",48
automatic generation of peephole superoptimizers,4,Automatic generation of peephole superoptimizers,W2160145830; W3004705163; W3024487921; W4211105367,2006,42
failure atomic persistent memory updates via justdo logging,4,Failure-Atomic Persistent Memory Updates via JUSTDO Logging,W2318717892; W4231807366; W4235013433; W4241849989,2016,39
tardis,4,Tardis,W2168086664; W2168607538; W2440548006; W4236063690,"2014, 2015, 2016",34
