title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
computer aided verification,16,Computer Aided Verification,W2238621239; W2484078761; W2496887306; W2498950568; W2499219338; W2499720498; W2504797558; W3143148979; W3151801563; W3204486483; W333239218; W4211190311; W4231545092; W4299694611; W4300004495; W4412544302,"1992, 1993, 1999, 2000, 2006, 2007, 2010, 2011, 2014, 2015, 2016, 2017, 2021, 2025",20
tools and algorithms for the construction and analysis of systems,15,Tools and Algorithms for the Construction and Analysis of Systems,W1639713563; W1662203549; W2487425287; W2490811891; W2493946278; W2499905456; W2799644178; W2904270376; W2904982962; W3032952463; W4302078184; W4302155065; W4366379428; W4393943383; W4410034306,"1998, 2001, 2009, 2010, 2011, 2012, 2015, 2016, 2017, 2018, 2019, 2021, 2023, 2024, 2025",53
programming languages and systems,13,Programming Languages and Systems,W1587388778; W1611801415; W2490124688; W2491912653; W2493168904; W2611899580; W2796564118; W2799730491; W4226316596; W4388917161; W4403844439; W4410041842; W6959300197,"2000, 2004, 2006, 2009, 2010, 2012, 2014, 2016, 2022, 2023, 2024, 2025",39
introduction to algorithms,12,Introduction to Algorithms,W2752573522; W2752885492; W2946046356; W3019365222; W3145128584; W3183881215; W4210727445; W4233225156; W4246219036; W4255405898; W4372046852; W7029321148,"1990, 1991, 1996, 2005, 2008, 2009, 2018, 2020, 2021, 2023",39
the coq proof assistant,11,The Coq Proof Assistant,W4205631450; W6893240590; W6893793464; W6893957906; W6912190407; W6912435185; W6931325406; W6931651971; W6967597849; W6968821612; W6968929699,"2018, 2019, 2020, 2021, 2022, 2023, 2024",32
foundations of software science and computation structures,8,Foundations of Software Science and Computation Structures,W2136038607; W2476467509; W2487685844; W2489340449; W2504714231; W2796377482; W2954733742; W4409970543,"1999, 2002, 2006, 2013, 2018, 2019, 2023, 2025",15
distributed algorithms,7,Distributed Algorithms,W2611515161; W2762951336; W3106753174; W4214885550; W4311017726; W4376598654; W7056210342,"1988, 1991, 1992, 1994, 1996, 2007, 2017",17
experience report,7,Experience report,W2044948261; W2076015358; W2076668269; W2104644663; W2810740094; W4242465446; W4248114214,"2009, 2010, 2012, 2013, 2014, 2018",11
brief announcement,6,Brief announcement,W2009454615; W2098297530; W2470481370; W2738549499; W2809017009; W2809417046,"2012, 2014, 2016, 2017, 2018",24
probability and measure,6,Probability and Measure.,W2056099894; W2188564768; W4298443330; W4300577719; W4302114916; W616791181,"1983, 1987, 1996, 2009, 2010",14
