issue,year,total_referenced_works,missing_referenced_works,missing_rate,metadata_type
ICFP,2017,1503,71,0.047238855622089154,Author-Name
ICFP,2018,1380,59,0.042753623188405795,Author-Name
ICFP,2019,1310,74,0.05648854961832061,Author-Name
ICFP,2020,1260,80,0.06349206349206349,Author-Name
ICFP,2021,1498,88,0.05874499332443257,Author-Name
ICFP,2022,1281,88,0.06869633099141297,Author-Name
ICFP,2023,1153,59,0.05117085862966175,Author-Name
ICFP,2024,1111,70,0.063006300630063,Author-Name
ICFP,2025,1139,80,0.07023705004389816,Author-Name
OOPSLA,2017,2614,97,0.03710788064269319,Author-Name
OOPSLA,2018,2423,110,0.04539826661163846,Author-Name
OOPSLA,2019,2991,167,0.055834169174189235,Author-Name
OOPSLA,2020,4015,331,0.08244084682440847,Author-Name
OOPSLA,2021,2661,190,0.07140172867343104,Author-Name
OOPSLA1,2022,947,71,0.07497360084477296,Author-Name
OOPSLA1,2023,1236,106,0.08576051779935275,Author-Name
OOPSLA1,2024,2003,211,0.1053419870194708,Author-Name
OOPSLA1,2025,2925,292,0.09982905982905983,Author-Name
OOPSLA2,2022,2631,232,0.08817939946788293,Author-Name
OOPSLA2,2023,2873,215,0.0748346675948486,Author-Name
OOPSLA2,2024,3336,165,0.04946043165467626,Author-Name
OOPSLA2,2025,5238,383,0.07311951126384116,Author-Name
PLDI,2017,1872,136,0.07264957264957266,Author-Name
PLDI,2018,2311,111,0.048031155344006926,Author-Name
PLDI,2019,3251,234,0.07197785296831744,Author-Name
PLDI,2020,2735,228,0.08336380255941499,Author-Name
PLDI,2021,3707,232,0.062584299973024,Author-Name
PLDI,2022,2542,201,0.07907159716758458,Author-Name
PLDI,2023,2916,253,0.08676268861454046,Author-Name
PLDI,2024,3628,307,0.08461962513781698,Author-Name
PLDI,2025,3309,200,0.060441220912662436,Author-Name
POPL,2018,2619,104,0.039709812905689194,Author-Name
POPL,2019,2915,155,0.05317324185248713,Author-Name
POPL,2020,2428,132,0.054365733113673806,Author-Name
POPL,2021,2361,169,0.07157983905124947,Author-Name
POPL,2022,2503,186,0.0743108270075909,Author-Name
POPL,2023,2686,249,0.09270290394638868,Author-Name
POPL,2024,4083,344,0.08425177565515553,Author-Name
POPL,2025,2989,210,0.0702576112412178,Author-Name
