issue,conference_year,unique_cited_works,missing_author_works,missing_author_share
ICFP,2017,1503,96,0.06387225548902195
ICFP,2018,1380,77,0.05579710144927536
ICFP,2019,1310,115,0.08778625954198473
ICFP,2020,1260,122,0.09682539682539683
ICFP,2021,1498,141,0.09412550066755675
ICFP,2022,1281,159,0.12412177985948478
ICFP,2023,1153,115,0.0997398091934085
ICFP,2024,1111,145,0.13051305130513052
ICFP,2025,1139,154,0.13520632133450394
OOPSLA,2017,2614,133,0.050879877582249426
OOPSLA,2018,2423,140,0.05777961205117623
OOPSLA,2019,2991,242,0.08090939485122033
OOPSLA,2020,4015,432,0.10759651307596513
OOPSLA,2021,2661,287,0.10785419015407742
OOPSLA1,2022,947,114,0.12038014783526928
OOPSLA1,2023,1236,168,0.13592233009708737
OOPSLA1,2024,2003,313,0.15626560159760358
OOPSLA1,2025,2925,438,0.14974358974358976
OOPSLA2,2022,2631,358,0.13606993538578488
OOPSLA2,2023,2873,324,0.11277410372432997
OOPSLA2,2024,3336,330,0.09892086330935251
OOPSLA2,2025,5238,702,0.13402061855670103
PLDI,2017,1872,164,0.0876068376068376
PLDI,2018,2311,144,0.06231068801384682
PLDI,2019,3251,294,0.09043371270378345
PLDI,2020,2735,293,0.10712979890310786
PLDI,2021,3707,345,0.09306717021850552
PLDI,2022,2542,315,0.12391817466561762
PLDI,2023,2916,399,0.1368312757201646
PLDI,2024,3628,507,0.13974641675854466
PLDI,2025,3309,421,0.12722877002115443
POPL,2018,2619,152,0.05803741886216113
POPL,2019,2915,229,0.07855917667238423
POPL,2020,2428,194,0.07990115321252059
POPL,2021,2361,248,0.10504023718763236
POPL,2022,2503,284,0.11346384338793448
POPL,2023,2686,364,0.1355174981384959
POPL,2024,4083,532,0.13029635072250795
POPL,2025,2989,371,0.12412177985948478
