source,conference,conference_year,n_papers
dblp_doi+openalex,PLDI,2017,47
dblp_doi+openalex,PLDI,2018,55
dblp_doi+openalex,PLDI,2019,76
dblp_doi+openalex,PLDI,2020,77
dblp_doi+openalex,PLDI,2021,87
dblp_doi+openalex,PLDI,2022,68
pacmpl_master,ICFP,2017,44
pacmpl_master,ICFP,2018,40
pacmpl_master,ICFP,2019,39
pacmpl_master,ICFP,2020,36
pacmpl_master,ICFP,2021,35
pacmpl_master,ICFP,2022,35
pacmpl_master,ICFP,2023,33
pacmpl_master,ICFP,2024,35
pacmpl_master,ICFP,2025,36
pacmpl_master,OOPSLA,2017,66
pacmpl_master,OOPSLA,2018,60
pacmpl_master,OOPSLA,2019,73
pacmpl_master,OOPSLA,2020,108
pacmpl_master,OOPSLA,2021,71
pacmpl_master,OOPSLA1,2022,24
pacmpl_master,OOPSLA1,2023,31
pacmpl_master,OOPSLA1,2024,53
pacmpl_master,OOPSLA1,2025,67
pacmpl_master,OOPSLA2,2022,68
pacmpl_master,OOPSLA2,2023,78
pacmpl_master,OOPSLA2,2024,95
pacmpl_master,OOPSLA2,2025,148
pacmpl_master,PLDI,2023,83
pacmpl_master,PLDI,2024,89
pacmpl_master,PLDI,2025,88
pacmpl_master,POPL,2018,66
pacmpl_master,POPL,2019,77
pacmpl_master,POPL,2020,68
pacmpl_master,POPL,2021,61
pacmpl_master,POPL,2022,65
pacmpl_master,POPL,2023,74
pacmpl_master,POPL,2024,93
pacmpl_master,POPL,2025,79
