conference,conference_year,n_pdf_titles,n_openalex_titles,n_all_match,n_not_all_match,n_pdf_only,n_openalex_only,n_title_difference,n_metadata_difference
ICFP,2017,44,44,44,0,0,0,0,0
ICFP,2018,40,40,40,0,0,0,0,0
ICFP,2019,39,39,39,0,0,0,0,0
ICFP,2020,37,36,36,1,1,0,0,0
ICFP,2021,35,35,35,0,0,0,0,0
ICFP,2022,35,35,35,0,0,0,0,0
ICFP,2023,33,33,33,0,0,0,0,0
ICFP,2024,35,35,35,0,0,0,0,0
ICFP,2025,36,36,36,0,0,0,0,0
OOPSLA,2017,66,66,66,0,0,0,0,0
OOPSLA,2018,60,60,60,0,0,0,0,0
OOPSLA,2019,73,73,73,0,0,0,0,0
OOPSLA,2020,109,108,108,1,1,0,0,0
OOPSLA,2021,71,71,71,0,0,0,0,0
OOPSLA1,2022,24,24,24,0,0,0,0,0
OOPSLA1,2023,31,31,31,0,0,0,0,0
OOPSLA1,2024,53,53,53,0,0,0,0,0
OOPSLA1,2025,67,67,67,0,0,0,0,0
OOPSLA2,2022,68,68,68,0,0,0,0,0
OOPSLA2,2023,79,78,78,1,1,0,0,0
OOPSLA2,2024,95,95,95,0,0,0,0,0
OOPSLA2,2025,148,148,148,0,0,0,0,0
PLDI,2017,47,47,46,1,0,0,0,1
PLDI,2018,55,55,55,0,0,0,0,0
PLDI,2019,76,76,72,4,0,0,0,4
PLDI,2020,77,77,77,0,0,0,0,0
PLDI,2021,87,87,87,0,0,0,0,0
PLDI,2022,68,68,66,2,0,0,0,2
PLDI,2023,83,83,83,0,0,0,0,0
PLDI,2024,89,89,89,0,0,0,0,0
PLDI,2025,89,88,88,1,1,0,0,0
POPL,2018,66,66,0,66,0,0,0,66
POPL,2019,77,77,77,0,0,0,0,0
POPL,2020,68,68,0,68,0,0,0,68
POPL,2021,61,61,61,0,0,0,0,0
POPL,2022,65,65,65,0,0,0,0,0
POPL,2023,74,74,74,0,0,0,0,0
POPL,2024,93,93,93,0,0,0,0,0
POPL,2025,79,79,79,0,0,0,0,0
