referenced_work_id,fetch_status,has_work,n_authorships,publication_year
W100035078,fetched_singleton,True,2,2014.0
W10008895,fetched_singleton,True,2,
W100098803,fetched_singleton,True,2,2011.0
W1001614398,fetched_singleton,True,3,2013.0
W100229751,fetched_singleton,True,3,2013.0
W100246148,fetched_singleton,True,5,2013.0
W1002679353,fetched_singleton,True,1,2012.0
W100466825,fetched_singleton,True,1,2000.0
W100509257,fetched_singleton,True,1,1998.0
W100569329,fetched_singleton,True,3,2013.0
W100599422,fetched_singleton,True,5,2013.0
W100613926,fetched_singleton,True,5,2009.0
W100631053,fetched_singleton,True,3,2011.0
W1006997171,fetched_singleton,True,1,2014.0
W1007123516,fetched_singleton,True,4,2018.0
W100961009,fetched_singleton,True,2,2011.0
W101014555,fetched_singleton,True,1,2009.0
W10105891,fetched_singleton,True,2,1996.0
W1011234245,fetched_singleton,True,3,2015.0
W1012186786,fetched_singleton,True,4,2015.0
W10127936,fetched_singleton,True,1,1991.0
W1013727686,fetched_singleton,True,4,2018.0
W101424827,fetched_singleton,True,2,2013.0
W1014453521,fetched_singleton,True,3,2015.0
W1014461153,fetched_singleton,True,3,2014.0
W1014828772,fetched_singleton,True,1,1971.0
W101576916,fetched_singleton,True,2,2008.0
W1015918564,fetched_singleton,True,1,2015.0
W10165608,fetched_singleton,True,2,2013.0
W1017176722,fetched_singleton,True,7,2015.0
W101797636,fetched_singleton,True,1,2009.0
W1019674797,fetched_singleton,True,2,2014.0
W1019939734,fetched_singleton,True,3,2014.0
W102024464,fetched_singleton,True,6,1999.0
W1021295116,fetched_singleton,True,2,2013.0
W1021521453,fetched_singleton,True,3,2015.0
W1022177737,fetched_singleton,True,2,2015.0
W102301403,fetched_singleton,True,2,2005.0
W1023119160,fetched_singleton,True,3,2015.0
W1025122386,fetched_singleton,True,2,2015.0
W102553210,fetched_singleton,True,1,2001.0
W102566742,fetched_singleton,True,1,1985.0
W1026566567,fetched_singleton,True,4,2015.0
W1026721552,fetched_singleton,True,1,1993.0
W102682372,fetched_singleton,True,3,2012.0
W102708294,fetched_singleton,True,6,2007.0
W102915191,fetched_singleton,True,2,2012.0
W103344166,fetched_singleton,True,1,2005.0
W1034915372,fetched_singleton,True,3,2015.0
W1035235710,fetched_singleton,True,3,2017.0
W103523709,fetched_singleton,True,3,2013.0
W1035269900,fetched_singleton,True,2,2013.0
W1036874709,fetched_singleton,True,1,1993.0
W1039226838,fetched_singleton,True,3,2018.0
W1040356831,fetched_singleton,True,3,2015.0
W104299029,fetched_singleton,True,1,2004.0
W104370704,fetched_singleton,True,3,2004.0
W104640233,fetched_singleton,True,2,2012.0
W104648112,fetched_singleton,True,3,2007.0
W104819362,fetched_singleton,True,1,2012.0
W1048515,fetched_singleton,True,4,2010.0
W10496484,fetched_singleton,True,5,2013.0
W105131483,fetched_singleton,True,4,2007.0
W105203805,fetched_singleton,True,2,2001.0
W10563742,fetched_singleton,True,1,1986.0
W105707553,fetched_singleton,True,3,2011.0
W105783207,fetched_singleton,True,7,2011.0
W106036673,fetched_singleton,True,1,2007.0
W106290589,fetched_singleton,True,1,2014.0
W106298309,fetched_singleton,True,2,2013.0
