conference,conference_year,n_papers,n_in_pdf,pdf_count,n_missing
ICFP,2017,44,44,1,0
ICFP,2018,40,40,1,0
ICFP,2019,39,39,1,0
ICFP,2020,36,36,1,0
ICFP,2021,35,35,1,0
ICFP,2022,35,35,1,0
ICFP,2023,33,33,1,0
ICFP,2024,35,35,1,0
ICFP,2025,36,36,1,0
OOPSLA,2017,66,66,1,0
OOPSLA,2018,60,60,1,0
OOPSLA,2019,73,73,1,0
OOPSLA,2020,108,108,1,0
OOPSLA,2021,71,71,1,0
OOPSLA1,2022,24,24,1,0
OOPSLA1,2023,31,31,1,0
OOPSLA1,2024,53,53,1,0
OOPSLA1,2025,67,67,1,0
OOPSLA2,2022,68,68,1,0
OOPSLA2,2023,78,78,1,0
OOPSLA2,2024,95,95,1,0
OOPSLA2,2025,148,148,1,0
PLDI,2017,47,47,1,0
PLDI,2018,55,55,1,0
PLDI,2019,76,76,1,0
PLDI,2020,77,77,1,0
PLDI,2021,87,87,1,0
PLDI,2022,68,68,1,0
PLDI,2023,83,83,1,0
PLDI,2024,89,89,1,0
PLDI,2025,88,88,1,0
POPL,2018,66,66,1,0
POPL,2019,77,77,1,0
POPL,2020,68,68,1,0
POPL,2021,61,61,1,0
POPL,2022,65,65,1,0
POPL,2023,74,74,1,0
POPL,2024,93,93,1,0
POPL,2025,79,79,1,0
