canonical_researchr_id,pc_name,mapped_name_for_matching,query_source,candidate_rank,candidate_ref_author_name,manual_decision,manual_notes
alexkavvos,Alex Kavvos,Alex Kavvos,original_name,1,G. A. Kavvos,accept,
alexkavvos,Alex Kavvos,Alex Kavvos,mapped_name,2,G. A. Kavvos,,
alexkavvos,Alex Kavvos,Alex Kavvos,original_name,3,Alex Graves,,
alexkavvos,Alex Kavvos,Alex Kavvos,mapped_name,4,Alex Graves,,
alexkavvos,Alex Kavvos,Alex Kavvos,original_name,5,Alex Davies,,
alexkavvos,Alex Kavvos,Alex Kavvos,mapped_name,6,Alex Davies,,
alexkavvos,Alex Kavvos,Alex Kavvos,original_name,7,Alex Knaust,,
alexkavvos,Alex Kavvos,Alex Kavvos,mapped_name,8,Alex Knaust,,
alexkavvos,Alex Kavvos,Alex Kavvos,original_name,9,Alex Galakatos,,
alexkavvos,Alex Kavvos,Alex Kavvos,mapped_name,10,Alex Galakatos,,
alexkavvos,Alex Kavvos,Alex Kavvos,original_name,11,Alex Kale,,
alexkavvos,Alex Kavvos,Alex Kavvos,mapped_name,12,Alex Kale,,
alexeyloginov,Alexey Loginov,Alexey Loginov,original_name,1,Alexey Guseynov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,original_name,2,Alexey Melnikov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,mapped_name,3,Alexey Guseynov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,mapped_name,4,Alexey Melnikov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,original_name,5,Alexey Lavrov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,mapped_name,6,Alexey Lavrov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,original_name,7,Alexey Kukanov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,mapped_name,8,Alexey Kukanov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,original_name,9,Alexey Tumanov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,mapped_name,10,Alexey Tumanov,,
alexeyloginov,Alexey Loginov,Alexey Loginov,original_name,11,Alexey Solovyev,,
alexeyloginov,Alexey Loginov,Alexey Loginov,mapped_name,12,Alexey Solovyev,,
amirkafshdargoharshady1,Amir K. Goharshady,Amir K. Goharshady,original_name,1,Amir Kafshdar Goharshady,acceptandmerge,
amirkafshdargoharshady1,Amir K. Goharshady,Amir K. Goharshady,mapped_name,2,Amir Kafshdar Goharshady,,
amirkafshdargoharshady1,Amir K. Goharshady,Amir K. Goharshady,original_name,3,"Goharshady, Amir Kafshdar",acceptandmerge,
amirkafshdargoharshady1,Amir K. Goharshady,Amir K. Goharshady,mapped_name,4,"Goharshady, Amir Kafshdar",,
amirkafshdargoharshady1,Amir K. Goharshady,Amir K. Goharshady,original_name,5,Ehsan Kafshdar Goharshady,,
amirkafshdargoharshady1,Amir K. Goharshady,Amir K. Goharshady,mapped_name,6,Ehsan Kafshdar Goharshady,,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,original_name,1,Andrzej S. Murawski,acceptandmerge,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,mapped_name,2,Andrzej S. Murawski,,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,original_name,3,"Murawski, Andrzej S.",acceptandmerge,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,mapped_name,4,"Murawski, Andrzej S.",,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,original_name,5,Andrzej Wąsowski,,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,mapped_name,6,Andrzej Wąsowski,,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,original_name,7,Andrzej Kraśniewski,,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,mapped_name,8,Andrzej Kraśniewski,,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,original_name,9,Andrzej Mostowski,,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,mapped_name,10,Andrzej Mostowski,,
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,original_name,11,"Wasowski, Andrzej",,
