canonical_researchr_id,name,mapped_name_for_matching,pc_name_norm,openalex_id,orcid,openalex_matched,match_source,match_confidence,needs_manual_review,review_reason,n_evidence_rows,n_citing_papers,n_cited_works,n_openalex_ids,candidate_openalex_ids,candidate_ref_author_names,candidate_orcids,n_pc_rows,n_conferences,first_observed_pc_year,last_observed_pc_year
aaronstump,Aaron Stump,Aaron Stump,aaron stump,A5072489480,0000-0002-9720-0003,True,strict_name_one_openalex_id,high,False,,53,44,21,1,['A5072489480'],['Aaron Stump'],['0000-0002-9720-0003'],2,1,2019,2023
abhinavverma1,Abhinav Verma,Abhinav Verma,abhinav verma,A5101988843,0000-0002-9820-8285,True,strict_name_one_openalex_id,high,False,,1,1,1,1,['A5101988843'],['Abhinav Verma'],['0000-0002-9820-8285'],1,1,2023,2023
adamchlipala,Adam Chlipala,Adam Chlipala,adam chlipala,A5078100439,0000-0001-7085-9417,True,strict_name_one_openalex_id,high,False,,382,235,61,1,['A5078100439'],['Adam Chlipala'],['0000-0001-7085-9417'],8,3,2017,2025
adamwelc,Adam Welc,Adam Welc,adam welc,A5078668785,0009-0005-0515-4994,True,strict_name_one_openalex_id,high,False,,28,23,11,1,['A5078668785'],['Adam Welc'],['0009-0005-0515-4994'],2,1,2020,2021
adriansampson,Adrian Sampson,Adrian Sampson,adrian sampson,A5004782337,0000-0003-0837-8924,True,strict_name_one_openalex_id,high,False,,67,43,23,1,['A5004782337'],['Adrian Sampson'],['0000-0003-0837-8924'],3,2,2018,2020
aggelosbiboudis,Aggelos Biboudis,Aggelos Biboudis,aggelos biboudis,A5089315679,,True,strict_name_one_openalex_id,high,False,,41,35,10,1,['A5089315679'],['Aggelos Biboudis'],[],1,1,2023,2023
ahmedbouajjani,Ahmed Bouajjani,Ahmed Bouajjani,ahmed bouajjani,A5045477471,0000-0002-2060-3592,True,strict_name_one_openalex_id,high,False,,184,102,63,1,['A5045477471'],['Ahmed Bouajjani'],['0000-0002-2060-3592'],2,1,2021,2024
ainalinngeorges,Aina Linn Georges,Aina Linn Georges,aina linn georges,A5041169923,0000-0002-5951-4642,True,strict_name_one_openalex_id,high,False,,42,27,9,1,['A5041169923'],['Aïna Linn Georges'],['0000-0002-5951-4642'],1,1,2025,2025
akashlal,Akash Lal,Akash Lal,akash lal,A5029930688,0009-0002-4359-9378,True,strict_name_one_openalex_id,high,False,,92,65,39,1,['A5029930688'],['Akash Lal'],['0009-0002-4359-9378'],5,2,2017,2023
akimasamorihata,Akimasa Morihata,Akimasa Morihata,akimasa morihata,A5037284935,0000-0003-2741-5954,True,strict_name_one_openalex_id,high,False,,28,11,13,1,['A5037284935'],['Akimasa Morihata'],['0000-0003-2741-5954'],1,1,2021,2021
alanjeffrey1,Alan Jeffrey,Alan Jeffrey,alan jeffrey,A5012868882,0000-0001-6342-0318,True,strict_name_one_openalex_id,high,False,,70,47,15,1,['A5012868882'],['Alan Jeffrey'],['0000-0001-6342-0318'],4,2,2017,2023
