canonical_researchr_id,name,mapped_name_for_matching,pc_name_norm,openalex_id,orcid,openalex_matched,match_source,match_confidence,needs_manual_review,review_reason,n_evidence_rows,n_citing_papers,n_cited_works,n_openalex_ids,candidate_openalex_ids,candidate_ref_author_names,candidate_orcids,n_pc_rows,n_conferences,first_observed_pc_year,last_observed_pc_year
aaronbembenek,Aaron Bembenek,Aaron Bembenek,aaron bembenek,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,16,14,4,2,"['A5007064313', 'A5008144113']",['Aaron Bembenek'],['0000-0002-3677-701X'],1,1,2025,2025
adityakanade,Aditya Kanade,Aditya Kanade,aditya kanade,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,32,30,13,3,"['A5037631148', 'A5103381179', 'A5107245208']",['Aditya Kanade'],['0000-0001-8701-6977'],2,1,2018,2021
adityavthakur,Aditya V. Thakur,Aditya V. Thakur,aditya v thakur,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,4,2,2022,2025
albertcohen,Albert Cohen,Albert Cohen,albert cohen,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,151,86,57,2,"['A5063162788', 'A5088365482']",['Albert Cohen'],['0000-0002-8866-5343'],5,3,2021,2025
alexkavvos,Alex Kavvos,Alex Kavvos,alex kavvos,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,3,3,2022,2025
alexanderjsummers,Alexander J. Summers,Alexander J. Summers,alexander j summers,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,170,103,35,2,"['A5042336573', 'A5080556886']",['Alexander J. Summers'],"['0000-0001-5554-9381', '0000-0002-7372-0610']",2,1,2021,2024
alexandrasilva,Alexandra Silva,Alexandra Silva,alexandra silva,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,123,83,43,2,"['A5091523601', 'A5100658822']","['ALEXANDRA SILVA', 'Alexandra Silva']",['0000-0001-5014-9784'],6,4,2017,2025
alexeyloginov,Alexey Loginov,Alexey Loginov,alexey loginov,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2023,2023
amirkafshdargoharshady1,Amir K. Goharshady,Amir K. Goharshady,amir k goharshady,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2024,2024
andreipopescu,Andrei Popescu,Andrei Popescu,andrei popescu,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,42,16,26,2,"['A5064907118', 'A5102940484']",['Andrei Popescu'],"['0000-0001-8747-0619', '0000-0002-6601-5454']",1,1,2024,2024
andrewdgordon,Andrew D. Gordon,Andrew D. Gordon,andrew d gordon,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,189,130,37,2,"['A5078684560', 'A5110910266']",['Andrew D. Gordon'],['0000-0002-5809-2484'],3,3,2017,2023
andrewkennedy,Andrew Kennedy,Andrew Kennedy,andrew kennedy,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,110,76,29,2,"['A5084971613', 'A5103778532']",['Andrew Kennedy'],['0000-0002-7888-2109'],3,2,2019,2024
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,andrzej murawski,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,2,1,2020,2023
andraskovacs,András Kovács,András Kovács,andras kovacs,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,25,21,9,2,"['A5045224632', 'A5066948061']",['András Kovács'],"['0000-0001-8485-991X', '0000-0002-6375-9781']",1,1,2025,2025
angli,Ang Li,Ang Li,ang li,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,12,11,8,2,"['A5100413624', 'A5100413657']",['Ang Li'],"['0000-0002-7458-063X', '0000-0003-3734-9137']",1,1,2025,2025
angelicamoreira,Angelica Moreira,Angélica Aparecida Moreira,angelica aparecida moreira,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,anthony widjaja lin,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2022,2022
anupamdas,Anupam Das,Anupam Das,anupam das,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,15,7,9,2,"['A5089810498', 'A5101816745']",['Anupam Das'],"['0000-0002-0142-3676', '0000-0002-8961-9963']",1,1,2025,2025
arielkellison,Ariel E. Kellison,Ariel E. Kellison,ariel e kellison,,,False,unmatched_or_ambiguous_name,review,True,PC name not found with an OpenAlex Author ID in the cited-author table.,0,0,0,0,,,,1,1,2025,2025
aritrasengupta,Aritra Sengupta,Aritra Sengupta,aritra sengupta,,,False,unmatched_or_ambiguous_name,review,True,PC name maps to multiple OpenAlex Author IDs in the cited-author table.,19,12,10,2,"['A5015672019', 'A5107243687']",['Aritra Sengupta'],"['0000-0001-6268-010X', '0000-0003-0138-9858']",2,1,2020,2021
