canonical_researchr_id,name,mapped_name_for_matching,identity_layer,identity_layer_reason,manual_decisions,n_accepted_candidate_rows,n_acceptandmerge_rows,accepted_citation_rows,accepted_citing_papers,accepted_cited_works,accepted_candidate_names,accepted_ref_author_names,accepted_openalex_author_ids,accepted_orcids,accepted_issues,accepted_decisions,best_candidate_name,best_candidate_score,best_candidate_bucket,best_candidate_evidence_rows,manual_match_status
alexkavvos,Alex Kavvos,Alex Kavvos,Layer 2,name_not_found_in_referenced_authors,accept,1,0,61,37,12,G. A. Kavvos,G. A. Kavvos,A5037972894,0000-0001-7953-7975,ICFP; OOPSLA; OOPSLA1; OOPSLA2; PLDI; POPL,accept,G. A. Kavvos,82.2,weak_candidate,61.0,matched_by_manual_review
alexeyloginov,Alexey Loginov,Alexey Loginov,Layer 2,name_not_found_in_referenced_authors,,0,0,0,0,0,,,,,,,Alexey Guseynov,79.9,weak_candidate,1.0,needs_manual_decision
amirkafshdargoharshady1,Amir K. Goharshady,Amir K. Goharshady,Layer 2,name_not_found_in_referenced_authors,acceptandmerge,2,2,145,62,39,"Amir Kafshdar Goharshady; Goharshady, Amir Kafshdar","Amir Kafshdar Goharshady; Goharshady, Amir Kafshdar",A5005241421,0000-0003-1702-6584,ICFP; OOPSLA; OOPSLA1; OOPSLA2; PLDI; POPL,acceptandmerge,Amir Kafshdar Goharshady,96.9,strong_candidate,144.0,matched_by_manual_review
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,Layer 2,name_not_found_in_referenced_authors,acceptandmerge,2,2,44,26,29,"Andrzej S. Murawski; Murawski, Andrzej S.","Andrzej S. Murawski; Murawski, Andrzej S.",A5000119795,0000-0002-4725-410X,ICFP; OOPSLA2; PLDI; POPL,acceptandmerge,Andrzej S. Murawski,100.0,strong_candidate,43.0,matched_by_manual_review
angelicamoreira,Angelica Moreira,Angélica Aparecida Moreira,Layer 2,name_not_found_in_referenced_authors,,0,0,0,0,0,,,,,,,Nelma Moreira,92.8,possible_candidate,3.0,needs_manual_decision
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,Layer 2,name_not_found_in_referenced_authors,acceptandmerge,3,3,87,25,31,"Anthony W. Lin; Lin, Anthony W.; Lin, Anthony Widjaja","Anthony W. Lin; Lin, Anthony W.; Lin, Anthony Widjaja",A5034129725,0000-0003-4715-5096,ICFP; OOPSLA; OOPSLA1; OOPSLA2; PLDI; POPL,acceptandmerge,"Lin, Anthony Widjaja",100.0,possible_candidate,2.0,matched_by_manual_review
arielkellison,Ariel E. Kellison,Ariel E. Kellison,Layer 2,name_not_found_in_referenced_authors,acceptandmerge,2,2,10,4,7,"Ariel Kellison; Kellison, Ariel","Ariel Kellison; Kellison, Ariel",A5059845097,0000-0003-3177-7958,OOPSLA2; PLDI,acceptandmerge,Ariel Kellison,100.0,strong_candidate,9.0,matched_by_manual_review
brentyorgey,Brent Yorgey,Brent Yorgey,Layer 2,name_not_found_in_referenced_authors,accept,1,0,23,20,4,Brent A. Yorgey,Brent A. Yorgey,A5058418924,0009-0005-0135-6134,ICFP; OOPSLA2; PLDI; POPL,accept,Brent A. Yorgey,100.0,strong_candidate,23.0,matched_by_manual_review
casperbach,Casper Bach,Casper Bach,Layer 2,name_not_found_in_referenced_authors,acceptandmerge,3,3,65,42,21,"Bach, Casper; Casper Bach Poulsen; Poulsen, Casper Bach","Bach, Casper; Casper Bach Poulsen; Poulsen, Casper Bach",A5087571354,0000-0003-0622-7639,ICFP; OOPSLA; OOPSLA1; OOPSLA2; PLDI; POPL,acceptandmerge,"Bach, Casper",99.7,possible_candidate,2.0,matched_by_manual_review
colingordon,Colin Gordon,Colin Gordon,Layer 2,name_not_found_in_referenced_authors,acceptandmerge,2,2,68,46,18,"Colin S. Gordon; Gordon, Colin","Colin S. Gordon; Gordon, Colin",A5072587371,0000-0002-9012-4490,ICFP; OOPSLA; OOPSLA1; OOPSLA2; PLDI; POPL,acceptandmerge,Colin S. Gordon,100.0,strong_candidate,67.0,matched_by_manual_review
