year,panel,n_pc_observations,n_missing_citation_count,n_pc_researchers,n_plotted_observations,n_plotted_researchers,n_zero_cited,mean_citations,median_citations,zero_share
2017,All,90,2,87,88,85,22,5.090909090909091,3.0,0.25
2018,All,138,0,126,138,126,21,7.731884057971015,5.0,0.15217391304347827
2019,All,143,1,134,142,133,9,6.211267605633803,4.0,0.06338028169014084
2020,All,146,0,137,146,137,19,6.541095890410959,5.0,0.13013698630136986
2021,All,259,0,237,259,237,38,6.463320463320463,4.0,0.14671814671814673
2022,All,311,0,230,311,230,67,4.382636655948553,3.0,0.21543408360128619
2023,All,407,1,289,406,288,104,4.477832512315271,3.0,0.2561576354679803
2024,All,493,0,337,493,337,98,5.099391480730223,3.0,0.19878296146044624
2025,All,512,10,361,502,355,117,4.49800796812749,2.0,0.23306772908366533
2017,ICFP,23,0,23,23,23,4,6.608695652173913,3.0,0.17391304347826086
2018,ICFP,18,0,18,18,18,4,4.944444444444445,3.5,0.2222222222222222
2019,ICFP,20,0,20,20,20,2,4.85,5.0,0.1
2020,ICFP,17,0,17,17,17,1,6.705882352941177,4.0,0.058823529411764705
2021,ICFP,30,0,30,30,30,5,3.3666666666666667,2.0,0.16666666666666666
2022,ICFP,42,0,42,42,42,9,5.285714285714286,3.0,0.21428571428571427
2023,ICFP,54,0,54,54,54,15,2.8518518518518516,1.0,0.2777777777777778
2024,ICFP,51,0,51,51,51,13,3.784313725490196,3.0,0.2549019607843137
2025,ICFP,63,1,63,62,62,14,4.064516129032258,3.0,0.22580645161290322
2017,OOPSLA,31,2,31,29,29,7,4.137931034482759,2.0,0.2413793103448276
2018,OOPSLA,30,0,30,30,30,3,7.6,5.0,0.1
2019,OOPSLA,32,0,32,32,32,2,6.96875,4.5,0.0625
2020,OOPSLA,32,0,32,32,32,3,6.59375,6.0,0.09375
2021,OOPSLA,51,0,51,51,51,9,5.588235294117647,3.0,0.17647058823529413
2022,OOPSLA1,47,0,47,47,47,15,2.5106382978723403,2.0,0.3191489361702128
2023,OOPSLA1,78,0,78,78,78,39,1.7820512820512822,0.5,0.5
2024,OOPSLA1,108,0,108,108,108,40,2.3055555555555554,1.0,0.37037037037037035
2025,OOPSLA1,115,4,115,111,111,45,2.3783783783783785,1.0,0.40540540540540543
2022,OOPSLA2,47,0,47,47,47,4,5.638297872340425,4.0,0.0851063829787234
2023,OOPSLA2,78,0,78,78,78,13,5.961538461538462,3.0,0.16666666666666666
2024,OOPSLA2,108,0,108,108,108,16,5.064814814814815,3.0,0.14814814814814814
2025,OOPSLA2,115,4,115,111,111,16,6.009009009009009,4.0,0.14414414414414414
2017,PLDI,36,0,36,36,36,11,4.888888888888889,3.5,0.3055555555555556
2018,PLDI,38,0,38,38,38,10,4.894736842105263,2.0,0.2631578947368421
2019,PLDI,39,1,39,38,38,3,5.026315789473684,3.5,0.07894736842105263
2020,PLDI,43,0,43,43,43,8,4.8604651162790695,3.0,0.18604651162790697
2021,PLDI,126,0,126,126,126,16,7.523809523809524,4.0,0.12698412698412698
2022,PLDI,119,0,119,119,119,30,3.9411764705882355,2.0,0.25210084033613445
2023,PLDI,113,1,113,112,112,27,5.535714285714286,4.0,0.24107142857142858
2024,PLDI,135,0,135,135,135,22,5.237037037037037,4.0,0.16296296296296298
2025,PLDI,137,1,137,136,136,27,4.147058823529412,2.0,0.19852941176470587
2018,POPL,52,0,52,52,52,4,10.846153846153847,7.0,0.07692307692307693
2019,POPL,52,0,52,52,52,2,7.134615384615385,4.0,0.038461538461538464
2020,POPL,54,0,54,54,54,7,7.796296296296297,5.5,0.12962962962962962
2021,POPL,52,0,52,52,52,8,6.538461538461538,4.0,0.15384615384615385
2022,POPL,56,0,56,56,56,9,5.160714285714286,3.0,0.16071428571428573
2023,POPL,84,0,84,84,84,10,5.238095238095238,4.0,0.11904761904761904
2024,POPL,91,0,91,91,91,7,8.989010989010989,6.0,0.07692307692307693
2025,POPL,82,0,82,82,82,15,6.2317073170731705,3.0,0.18292682926829268
