conference,event_time,n_observations,n_events,mean_delta_log_citations,median_delta_log_citations,sd_delta_log_citations,se_delta_log_citations
ICFP,-2,209,209,-0.01531870101223381,0.0,0.1972988899224348,0.013647449586406867
ICFP,-1,226,226,0.014166409343171971,0.0,0.18974221571452,0.012621464443918338
ICFP,0,226,226,0.06898220724759967,0.0,0.32804188165645487,0.021821021378144324
ICFP,1,187,187,0.012427509922518343,0.0,0.35243586111279707,0.025772662650528785
ICFP,2,158,158,0.03125900023309921,0.0,0.35050752376616523,0.027884881369057056
OOPSLA,-2,74,74,-0.001393647317305238,0.0,0.18042128356559936,0.020973548193629975
OOPSLA,-1,102,102,0.0010110774654959597,0.0,0.15338825850360327,0.015187700727881375
OOPSLA,0,102,102,0.07947204406039107,0.05681094537576564,0.3594700352729467,0.035592837219924664
OOPSLA,1,75,75,0.12351877984380036,0.12493873660829996,0.36469555872585097,0.0421114158005262
OOPSLA,2,55,55,0.051852154913584476,0.07306401783911898,0.40380399448227977,0.05444891950841216
OOPSLA1,-2,180,180,-0.035021787788897536,0.0,0.18037056452573133,0.013444028113984912
OOPSLA1,-1,247,247,0.025521950615390917,0.0,0.15464869694258584,0.009840060947862612
OOPSLA1,0,247,247,0.10573715607548298,0.0,0.33503200290597024,0.021317575855832535
OOPSLA1,1,157,157,0.17371492251516113,0.12493873660829996,0.3305174252635485,0.026378162219084556
OOPSLA1,2,67,67,0.2133302764836653,0.24987747321659992,0.3362273334788086,0.04107670650850819
OOPSLA2,-2,180,180,-0.023517123570017655,0.0,0.18212859423798705,0.013575063912087185
OOPSLA2,-1,247,247,0.017137984787867117,0.0,0.15571212057221565,0.009907724973074796
OOPSLA2,0,247,247,0.12816348210055153,0.1383026981662816,0.3497169125148072,0.02225195427881049
OOPSLA2,1,157,157,0.1970612854021472,0.17609125905568124,0.37947776183365073,0.030285622466656465
OOPSLA2,2,67,67,0.2030670291828039,0.17609125905568124,0.35525376761245875,0.04340115539469806
PLDI,-2,404,404,-0.036797500940039335,0.0,0.1871258039541088,0.009309856709114085
PLDI,-1,441,441,0.033710182267065514,0.0,0.17937626444825466,0.008541726878488318
PLDI,0,441,441,0.05649072837965643,0.06246936830414995,0.32706655175140625,0.015574597702447917
PLDI,1,360,360,0.04164716913966561,0.0,0.33106034802528844,0.017448412378798975
PLDI,2,323,323,0.032993245028571004,0.03959062302381233,0.3679856789601982,0.02047527088997727
POPL,-2,275,275,-0.011920900286471046,0.0,0.19532414968002304,0.01177848939970642
POPL,-1,326,326,0.010055974168035393,0.0,0.17939754834398672,0.00993591124998538
POPL,0,326,326,0.04937164397364684,0.020585337577926133,0.36960941715154755,0.020470772314763894
POPL,1,290,290,0.0037587922771331523,0.0,0.37876526668025073,0.0222418623044522
POPL,2,225,225,-0.035240525954010254,0.0,0.39771749341260537,0.026514499560840357
