conference,year,n_researcher_conference_firsts
ICFP,2017,23
ICFP,2018,17
ICFP,2019,19
ICFP,2020,16
ICFP,2021,28
ICFP,2022,33
ICFP,2023,45
ICFP,2024,29
ICFP,2025,40
OOPSLA,2017,31
OOPSLA,2018,28
OOPSLA,2019,27
OOPSLA,2020,20
OOPSLA,2021,27
OOPSLA1,2022,47
OOPSLA1,2023,67
OOPSLA1,2024,90
OOPSLA1,2025,94
OOPSLA2,2022,47
OOPSLA2,2023,67
OOPSLA2,2024,90
OOPSLA2,2025,94
PLDI,2017,36
PLDI,2018,37
PLDI,2019,34
PLDI,2020,34
PLDI,2021,84
PLDI,2022,79
PLDI,2023,57
PLDI,2024,37
PLDI,2025,82
POPL,2018,52
POPL,2019,51
POPL,2020,53
POPL,2021,41
POPL,2022,40
POPL,2023,40
POPL,2024,65
POPL,2025,36
