conference,year,panel_pc_members,source_pc_members,difference
ICFP,2017,23,23,0
ICFP,2018,18,18,0
ICFP,2019,20,20,0
ICFP,2020,17,17,0
ICFP,2021,30,30,0
ICFP,2022,42,42,0
ICFP,2023,54,54,0
ICFP,2024,51,51,0
ICFP,2025,63,63,0
OOPSLA,2017,31,31,0
OOPSLA,2018,30,30,0
OOPSLA,2019,32,32,0
OOPSLA,2020,32,32,0
OOPSLA,2021,51,51,0
OOPSLA1,2022,47,47,0
OOPSLA1,2023,78,78,0
OOPSLA1,2024,108,108,0
OOPSLA1,2025,115,115,0
OOPSLA2,2022,47,47,0
OOPSLA2,2023,78,78,0
OOPSLA2,2024,108,108,0
OOPSLA2,2025,115,115,0
PLDI,2017,36,36,0
PLDI,2018,38,38,0
PLDI,2019,39,39,0
PLDI,2020,43,43,0
PLDI,2021,126,126,0
PLDI,2022,119,119,0
PLDI,2023,113,113,0
PLDI,2024,135,135,0
PLDI,2025,137,137,0
POPL,2018,52,52,0
POPL,2019,52,52,0
POPL,2020,54,54,0
POPL,2021,52,52,0
POPL,2022,56,56,0
POPL,2023,84,84,0
POPL,2024,91,91,0
POPL,2025,82,82,0
