conference,pc_member,n_cells,n_researchers,mean_citations,median_citations,zero_share,mean_log_citations,pc_service_status
ICFP,0,8161,942,1.4688150961891926,0.0,0.6452640607768656,0.20862305759773964,not serving in that conference-year
ICFP,1,317,249,4.334384858044164,3.0,0.2113564668769716,0.5533249676357037,serving on PC
OOPSLA,0,4536,942,2.8979276895943564,1.0,0.4347442680776014,0.3732223829095701,not serving in that conference-year
OOPSLA,1,174,131,6.132183908045977,4.0,0.13793103448275862,0.6777253001371197,serving on PC
OOPSLA1,0,3424,942,1.5005841121495327,0.0,0.540303738317757,0.2470446233052677,not serving in that conference-year
OOPSLA1,1,344,294,2.238372093023256,1.0,0.40406976744186046,0.3434349198133803,serving on PC
OOPSLA2,0,3424,942,3.493282710280374,1.0,0.34491822429906543,0.4381559359167382,not serving in that conference-year
OOPSLA2,1,344,294,5.651162790697675,3.0,0.14244186046511628,0.6380548584750482,serving on PC
PLDI,0,7695,942,2.7506172839506173,1.0,0.4454840805717999,0.3570953148139546,not serving in that conference-year
PLDI,1,783,477,5.197956577266922,3.0,0.1966794380587484,0.6024652939200137,serving on PC
POPL,0,7013,942,2.999429630685869,1.0,0.451019535149009,0.3635121502550362,not serving in that conference-year
POPL,1,523,378,7.177820267686425,4.0,0.11854684512428298,0.7279137674454209,serving on PC
