conference,year,citation_rows,zero_rows,mean_citations,median_citations,zero_share
ICFP,2017,23,4,6.608695652173913,3.0,0.17391304347826086
ICFP,2018,18,4,4.944444444444445,3.5,0.2222222222222222
ICFP,2019,20,2,4.85,5.0,0.1
ICFP,2020,17,1,6.705882352941177,4.0,0.058823529411764705
ICFP,2021,30,5,3.3666666666666667,2.0,0.16666666666666666
ICFP,2022,42,9,5.285714285714286,3.0,0.21428571428571427
ICFP,2023,54,15,2.8518518518518516,1.0,0.2777777777777778
ICFP,2024,51,13,3.784313725490196,3.0,0.2549019607843137
ICFP,2025,62,14,4.064516129032258,3.0,0.22580645161290322
OOPSLA,2017,29,7,4.137931034482759,2.0,0.2413793103448276
OOPSLA,2018,30,3,7.6,5.0,0.1
OOPSLA,2019,32,2,6.96875,4.5,0.0625
OOPSLA,2020,32,3,6.59375,6.0,0.09375
OOPSLA,2021,51,9,5.588235294117647,3.0,0.17647058823529413
OOPSLA1,2022,47,15,2.5106382978723403,2.0,0.3191489361702128
OOPSLA1,2023,78,39,1.7820512820512822,0.5,0.5
OOPSLA1,2024,108,40,2.3055555555555554,1.0,0.37037037037037035
OOPSLA1,2025,111,45,2.3783783783783785,1.0,0.40540540540540543
OOPSLA2,2022,47,4,5.638297872340425,4.0,0.0851063829787234
OOPSLA2,2023,78,13,5.961538461538462,3.0,0.16666666666666666
OOPSLA2,2024,108,16,5.064814814814815,3.0,0.14814814814814814
OOPSLA2,2025,111,16,6.009009009009009,4.0,0.14414414414414414
PLDI,2017,36,11,4.888888888888889,3.5,0.3055555555555556
PLDI,2018,38,10,4.894736842105263,2.0,0.2631578947368421
PLDI,2019,38,3,5.026315789473684,3.5,0.07894736842105263
PLDI,2020,43,8,4.8604651162790695,3.0,0.18604651162790697
PLDI,2021,126,16,7.523809523809524,4.0,0.12698412698412698
PLDI,2022,119,30,3.9411764705882355,2.0,0.25210084033613445
PLDI,2023,112,27,5.535714285714286,4.0,0.24107142857142858
PLDI,2024,135,22,5.237037037037037,4.0,0.16296296296296298
PLDI,2025,136,27,4.147058823529412,2.0,0.19852941176470587
POPL,2018,52,4,10.846153846153847,7.0,0.07692307692307693
POPL,2019,52,2,7.134615384615385,4.0,0.038461538461538464
POPL,2020,54,7,7.796296296296297,5.5,0.12962962962962962
POPL,2021,52,8,6.538461538461538,4.0,0.15384615384615385
POPL,2022,56,9,5.160714285714286,3.0,0.16071428571428573
POPL,2023,84,10,5.238095238095238,4.0,0.11904761904761904
POPL,2024,91,7,8.989010989010989,6.0,0.07692307692307693
POPL,2025,82,15,6.2317073170731705,3.0,0.18292682926829268
