panel_row_id,conference,year,name,researcher_id,citation_count,citation_match_basis,match_confidence,panel_identity_status
alexandrasilva|ICFP|2017,ICFP,2017,Alexandra Silva,alexandrasilva,0.0,ambiguous_name_match,RED,ambiguous_openalex_ids
kathrynegray|ICFP|2017,ICFP,2017,Kathryn E. Gray,kathrynegray,0.0,openalex_author_id,YELLOW,automatic_openalex_id
lindseykuper|ICFP|2017,ICFP,2017,Lindsey Kuper,lindseykuper,0.0,openalex_author_id,GREEN,automatic_openalex_id
martinerwig|ICFP|2017,ICFP,2017,Martin Erwig,martinerwig,0.0,ambiguous_name_match,RED,ambiguous_openalex_ids
alejandrorusso|ICFP|2018,ICFP,2018,Alejandro Russo,alejandrorusso,0.0,openalex_author_id,YELLOW,automatic_openalex_id
katsuhiroueno|ICFP|2018,ICFP,2018,Katsuhiro Ueno,katsuhiroueno,0.0,openalex_author_id,YELLOW,automatic_openalex_id
marcogaboardi|ICFP|2018,ICFP,2018,Marco Gaboardi,marcogaboardi,0.0,openalex_author_id,YELLOW,automatic_openalex_id
sandrineblazy|ICFP|2018,ICFP,2018,Sandrine Blazy,sandrineblazy,0.0,openalex_author_id,YELLOW,automatic_openalex_id
jenniferpaykin|ICFP|2019,ICFP,2019,Jennifer Paykin,jenniferpaykin,0.0,openalex_author_id,YELLOW,automatic_openalex_id
lauramcastro|ICFP|2019,ICFP,2019,Laura M. Castro,lauramcastro,0.0,openalex_author_id,YELLOW,automatic_openalex_id
geoffreymainland|ICFP|2020,ICFP,2020,Geoffrey Mainland,geoffreymainland,0.0,openalex_author_id,GREEN,automatic_openalex_id
cyrusomar|ICFP|2021,ICFP,2021,Cyrus Omar,cyrusomar,0.0,openalex_author_id,GREEN,automatic_openalex_id
eijirosumii|ICFP|2021,ICFP,2021,Eijiro Sumii,eijirosumii,0.0,openalex_author_id,YELLOW,automatic_openalex_id
ekaterinakomendantskaya|ICFP|2021,ICFP,2021,Ekaterina Komendantskaya,ekaterinakomendantskaya,0.0,openalex_author_id,GREEN,automatic_openalex_id
kazutakamatsuda|ICFP|2021,ICFP,2021,Kazutaka Matsuda,kazutakamatsuda,0.0,openalex_author_id,GREEN,automatic_openalex_id
kuenbanghoufavonia|ICFP|2021,ICFP,2021,Kuen-Bang Hou (Favonia),kuenbanghoufavonia,0.0,name_only_match,RED,name_only_sensitivity
alexandrasilva|ICFP|2022,ICFP,2022,Alexandra Silva,alexandrasilva,0.0,ambiguous_name_match,RED,ambiguous_openalex_ids
assiamahboubi|ICFP|2022,ICFP,2022,Assia Mahboubi,assiamahboubi,0.0,ambiguous_name_match,RED,ambiguous_openalex_ids
azalearaad|ICFP|2022,ICFP,2022,Azalea Raad,azalearaad,0.0,openalex_author_id,GREEN,automatic_openalex_id
kokomuroya|ICFP|2022,ICFP,2022,Koko Muroya,kokomuroya,0.0,openalex_author_id,GREEN,automatic_openalex_id
maribelfernandez|ICFP|2022,ICFP,2022,Maribel Fernandez,maribelfernandez,0.0,openalex_author_id,YELLOW,automatic_openalex_id
maryshe|ICFP|2022,ICFP,2022,Mary Sheeran,maryshe,0.0,openalex_author_id,GREEN,automatic_openalex_id
matiastoro|ICFP|2022,ICFP,2022,Matías Toro,matiastoro,0.0,openalex_author_id,GREEN,automatic_openalex_id
normandanner|ICFP|2022,ICFP,2022,Norman Danner,normandanner,0.0,openalex_author_id,YELLOW,automatic_openalex_id
williamjbowman|ICFP|2022,ICFP,2022,William J. Bowman,williamjbowman,0.0,openalex_author_id,YELLOW,automatic_openalex_id
amosrobinson|ICFP|2023,ICFP,2023,Amos Robinson,amosrobinson,0.0,openalex_author_id,YELLOW,automatic_openalex_id
armandosolarlezama|ICFP|2023,ICFP,2023,Armando Solar-Lezama,armandosolarlezama,0.0,openalex_author_id,YELLOW,automatic_openalex_id
arnaudspiwack|ICFP|2023,ICFP,2023,Arnaud Spiwack,arnaudspiwack,0.0,openalex_author_id,YELLOW,automatic_openalex_id
deliakesner|ICFP|2023,ICFP,2023,Delia Kesner,deliakesner,0.0,openalex_author_id,GREEN,automatic_openalex_id
hannahgommerstadt|ICFP|2023,ICFP,2023,Hannah Gommerstadt,hannahgommerstadt,0.0,openalex_author_id,YELLOW,automatic_openalex_id
jameschapman1|ICFP|2023,ICFP,2023,James Chapman,jameschapman1,0.0,ambiguous_name_match,RED,ambiguous_openalex_ids
joshberdine|ICFP|2023,ICFP,2023,Josh Berdine,joshberdine,0.0,openalex_author_id,GREEN,automatic_openalex_id
kathrinstark|ICFP|2023,ICFP,2023,Kathrin Stark,kathrinstark,0.0,openalex_author_id,GREEN,automatic_openalex_id
