conference,year,n_pc_service_observations,n_missing_citation_count,n_citation_observations,n_zero_cited,zero_cited_share
ICFP,2017,23,0,23,4,0.17391304347826086
ICFP,2018,18,0,18,4,0.2222222222222222
ICFP,2019,20,0,20,2,0.1
ICFP,2020,17,0,17,1,0.058823529411764705
ICFP,2021,30,0,30,5,0.16666666666666666
ICFP,2022,42,0,42,9,0.21428571428571427
ICFP,2023,54,0,54,15,0.2777777777777778
ICFP,2024,51,0,51,13,0.2549019607843137
ICFP,2025,63,1,62,14,0.22580645161290322
OOPSLA,2017,31,2,29,7,0.2413793103448276
OOPSLA,2018,30,0,30,3,0.1
OOPSLA,2019,32,0,32,2,0.0625
OOPSLA,2020,32,0,32,3,0.09375
OOPSLA,2021,51,0,51,9,0.17647058823529413
OOPSLA1,2022,47,0,47,15,0.3191489361702128
OOPSLA1,2023,78,0,78,39,0.5
OOPSLA1,2024,108,0,108,40,0.37037037037037035
OOPSLA1,2025,115,4,111,45,0.40540540540540543
OOPSLA2,2022,47,0,47,4,0.0851063829787234
OOPSLA2,2023,78,0,78,13,0.16666666666666666
OOPSLA2,2024,108,0,108,16,0.14814814814814814
OOPSLA2,2025,115,4,111,16,0.14414414414414414
PLDI,2017,36,0,36,11,0.3055555555555556
PLDI,2018,38,0,38,10,0.2631578947368421
PLDI,2019,39,1,38,3,0.07894736842105263
PLDI,2020,43,0,43,8,0.18604651162790697
PLDI,2021,126,0,126,16,0.12698412698412698
PLDI,2022,119,0,119,30,0.25210084033613445
PLDI,2023,113,1,112,27,0.24107142857142858
PLDI,2024,135,0,135,22,0.16296296296296298
PLDI,2025,137,1,136,27,0.19852941176470587
POPL,2018,52,0,52,4,0.07692307692307693
POPL,2019,52,0,52,2,0.038461538461538464
POPL,2020,54,0,54,7,0.12962962962962962
POPL,2021,52,0,52,8,0.15384615384615385
POPL,2022,56,0,56,9,0.16071428571428573
POPL,2023,84,0,84,10,0.11904761904761904
POPL,2024,91,0,91,7,0.07692307692307693
POPL,2025,82,0,82,15,0.18292682926829268
