event_unit_id,researcher_id,name,conference,first_pc_year_conference,raw_first_publication_year,first_cs_publication_year,career_age_publication_year,career_age_publication_year_status,career_age_at_first_pc,h_index,h_index_fetch_date,n_pc_years_this_conference,service_pattern_this_conference,first_observed_pc_year_conf,source_verified_first_pc_year_conf,source_verified_first_broad_service_year_conf,had_prior_pc_before_observed_conf,had_prior_broad_service_before_observed_conf,prior_pc_evidence_count_conf,prior_broad_service_evidence_count_conf,is_true_first_pc_in_observed_year_conf,is_true_first_broad_service_in_observed_year_conf,source_history_pc_group_this_conference,is_balanced_window,has_followup_pc_service,is_isolated_first_pc_event_window,event_definition,match_confidence,orcid_org_comparison,ideal_openalex_case,baseline_raw_citations,baseline_log10_citations
brunooliveira|ICFP|2019,brunooliveira,Bruno C. d. S. Oliveira,ICFP,2019,2002,2002,2002,usable_1980_or_later,17,23,2026-06-12,1,single_observed_pc_year,2019.0,2019.0,2006.0,False,True,0.0,8.0,True,False,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_agrees,False,3.5,0.6505149978319906
christosdimoulas1|ICFP|2019,christosdimoulas1,Christos Dimoulas,ICFP,2019,2008,2008,2008,usable_1980_or_later,11,12,2026-06-12,1,single_observed_pc_year,2019.0,2019.0,2008.0,False,True,0.0,3.0,True,False,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,GREEN,orcid_agrees,True,7.0,0.8890756251918218
chungchiehshan|ICFP|2019,chungchiehshan,Chung-chieh Shan,ICFP,2019,2002,2002,2002,usable_1980_or_later,17,29,2026-06-12,2,repeat_observed_pc_years,2019.0,2008.0,2006.0,True,True,2.0,6.0,False,False,prior_pc_found_before_observed_year,True,0,True,balanced_no_followup_pc_t1_t2,GREEN,orcid_agrees,True,12.5,1.1276362525516532
daanleijen|ICFP|2019,daanleijen,Daan Leijen,ICFP,2019,1998,1998,1998,usable_1980_or_later,21,27,2026-06-12,2,repeat_observed_pc_years,2019.0,2009.0,2005.0,True,True,2.0,5.0,False,False,prior_pc_found_before_observed_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_org_not_unique,False,3.5,0.6505149978319906
ezgicicek|ICFP|2019,ezgicicek,Ezgi Çiçek,ICFP,2019,2015,2015,2015,usable_1980_or_later,4,5,2026-06-12,1,single_observed_pc_year,2019.0,2019.0,2019.0,False,False,0.0,0.0,True,True,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_org_not_unique,False,3.0,0.5395906230238124
frankpfenning|ICFP|2019,frankpfenning,Frank Pfenning,ICFP,2019,1984,1984,1984,usable_1980_or_later,35,54,2026-06-12,2,repeat_observed_pc_years,2019.0,2005.0,2005.0,True,True,2.0,3.0,False,False,prior_pc_found_before_observed_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_org_not_unique,False,24.5,1.3868932224905968
jacqueshenrijourdan|ICFP|2019,jacqueshenrijourdan,Jacques-Henri Jourdan,ICFP,2019,2011,2011,2011,usable_1980_or_later,8,18,2026-06-12,1,single_observed_pc_year,2019.0,2019.0,2015.0,False,True,0.0,1.0,True,False,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_agrees,False,2.5,0.3890756251918218
jenniferpaykin|ICFP|2019,jenniferpaykin,Jennifer Paykin,ICFP,2019,2011,2011,2011,usable_1980_or_later,8,8,2026-06-12,1,single_observed_pc_year,2019.0,2019.0,2015.0,False,True,0.0,1.0,True,False,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,no_openalex_orcid_to_compare,False,0.5,0.1505149978319906
joachimbreitner|ICFP|2019,joachimbreitner,Joachim Breitner,ICFP,2019,2010,2010,2010,usable_1980_or_later,9,10,2026-06-12,2,repeat_observed_pc_years,2019.0,2019.0,2018.0,False,True,0.0,1.0,True,False,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_agrees,False,6.0,0.8010299956639813
klausostermann|ICFP|2019,klausostermann,Klaus Ostermann,ICFP,2019,1981,2000,2000,usable_1980_or_later,19,31,2026-06-12,2,repeat_observed_pc_years,2019.0,2019.0,2019.0,False,False,0.0,0.0,True,True,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,GREEN,orcid_agrees,True,3.5,0.627636252551653
lauramcastro|ICFP|2019,lauramcastro,Laura M. Castro,ICFP,2019,2003,2003,2003,usable_1980_or_later,16,8,2026-06-12,2,repeat_observed_pc_years,2019.0,2019.0,2019.0,False,False,0.0,0.0,True,True,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_org_not_unique,True,0.0,0.0
lennartberinger|ICFP|2019,lennartberinger,Lennart Beringer,ICFP,2019,2001,2001,2001,usable_1980_or_later,18,20,2026-06-12,1,single_observed_pc_year,2019.0,2019.0,2009.0,False,True,0.0,1.0,True,False,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,GREEN,orcid_agrees,True,2.5,0.5395906230238124
mikerainey|ICFP|2019,mikerainey,Mike Rainey,ICFP,2019,2007,2007,2007,usable_1980_or_later,12,15,2026-06-12,1,single_observed_pc_year,2019.0,2015.0,2015.0,True,True,1.0,4.0,False,False,prior_pc_found_before_observed_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_org_not_unique,False,2.5,0.5
pierreyvesstrub|ICFP|2019,pierreyvesstrub,Pierre-Yves Strub,ICFP,2019,2001,2001,2001,usable_1980_or_later,18,29,2026-06-12,1,single_observed_pc_year,2019.0,2019.0,2013.0,False,True,0.0,1.0,True,False,source_verified_first_pc_year,True,0,True,balanced_no_followup_pc_t1_t2,YELLOW,orcid_org_not_unique,False,6.0,0.8266062568876719
