event_definition,conference,event_time,mean,ci_lower,ci_upper,n_event_units
balanced_no_followup_pc_t1_t2,ICFP,-2,-0.016997443853348577,-0.05338590268080787,0.018000447742044852,106
balanced_no_followup_pc_t1_t2,ICFP,-1,0.016997443853348577,-0.018000447742044873,0.05338590268080785,106
balanced_no_followup_pc_t1_t2,ICFP,0,0.08270861328125276,0.02392234521810879,0.14415346042665103,106
balanced_no_followup_pc_t1_t2,ICFP,1,0.025469497859825083,-0.047923323608750144,0.09211046640647676,106
balanced_no_followup_pc_t1_t2,ICFP,2,0.030813428446971672,-0.034258808255571836,0.09445559911786766,106
balanced_no_followup_pc_t1_t2,OOPSLA,-2,0.06484809132179674,-0.0040250264748631255,0.13965148201528277,21
balanced_no_followup_pc_t1_t2,OOPSLA,-1,-0.06484809132179674,-0.13965148201528285,0.0040250264748630015,21
balanced_no_followup_pc_t1_t2,OOPSLA,0,0.1038413289852014,-0.0621211517244,0.2644336064971546,21
balanced_no_followup_pc_t1_t2,OOPSLA,1,0.21705342481372297,0.07861229165357579,0.36085055325512294,21
balanced_no_followup_pc_t1_t2,OOPSLA,2,0.01611591675140666,-0.15113861067066015,0.17166108280760864,21
balanced_no_followup_pc_t1_t2,PLDI,-2,-0.031837422448944275,-0.061731225237502026,-0.003397009271700632,138
balanced_no_followup_pc_t1_t2,PLDI,-1,0.031837422448944275,0.0033970092717006124,0.061731225237501915,138
balanced_no_followup_pc_t1_t2,PLDI,0,0.02344853841609911,-0.0313443345620394,0.07690920038105807,138
balanced_no_followup_pc_t1_t2,PLDI,1,0.017793454505164813,-0.036524454452096386,0.07305301355501706,138
balanced_no_followup_pc_t1_t2,PLDI,2,-0.007799482990305482,-0.068106096069251,0.05349360605079441,138
balanced_no_followup_pc_t1_t2,POPL,-2,0.019953810577797926,-0.01576197117577049,0.05818130947632317,138
balanced_no_followup_pc_t1_t2,POPL,-1,-0.019953810577797933,-0.05818130947632319,0.015761971175770488,138
balanced_no_followup_pc_t1_t2,POPL,0,-0.009443997390656607,-0.06174964457808378,0.041947553772937116,138
balanced_no_followup_pc_t1_t2,POPL,1,-0.014558131182787943,-0.07540269524473511,0.049073174040400035,138
balanced_no_followup_pc_t1_t2,POPL,2,-0.009417265600977604,-0.07329869196656082,0.05409737388392624,138
