researcher_id,name,mapped_name_for_matching,openalex_name,openalex_id,orcid_from_openalex,orcid_from_orcid_org,match_method,match_confidence,orcid_org_comparison,ideal_openalex_case,first_pc_year_any,first_observed_pc_year,n_pc_service_cells,n_conferences_served,use_for_orcid_sensitivity,use_for_ideal_sensitivity
aaronstump,Aaron Stump,Aaron Stump,Aaron Stump,A5072489480,0000-0002-9720-0003,0000-0002-9720-0003,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2019.0,2019,2,1,True,True
abhinavverma1,Abhinav Verma,Abhinav Verma,Abhinav Verma,A5101988843,0000-0002-9820-8285,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2023.0,2023,1,1,False,True
adamchlipala,Adam Chlipala,Adam Chlipala,Adam Chlipala,A5078100439,0000-0001-7085-9417,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,False,2017.0,2017,7,3,False,False
adamwelc,Adam Welc,Adam Welc,Adam Welc,A5078668785,0009-0005-0515-4994,0009-0005-0515-4994,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2020.0,2020,2,1,True,True
adriansampson,Adrian Sampson,Adrian Sampson,Adrian Sampson,A5004782337,0000-0003-0837-8924,0000-0003-0837-8924,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2018.0,2018,3,2,True,True
aggelosbiboudis,Aggelos Biboudis,Aggelos Biboudis,Aggelos Biboudis,A5089315679,,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,False,2023.0,2023,1,1,False,False
ahmedbouajjani,Ahmed Bouajjani,Ahmed Bouajjani,Ahmed Bouajjani,A5045477471,0000-0002-2060-3592,0000-0002-2060-3592,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2021.0,2021,2,1,True,True
ainalinngeorges,Aina Linn Georges,Aina Linn Georges,Aïna Linn Georges,A5041169923,0000-0002-5951-4642,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2025.0,2025,1,1,False,True
akashlal,Akash Lal,Akash Lal,Akash Lal,A5029930688,0009-0002-4359-9378,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2020.0,2017,4,2,False,True
akimasamorihata,Akimasa Morihata,Akimasa Morihata,Akimasa Morihata,A5037284935,0000-0003-2741-5954,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2021.0,2021,1,1,False,True
alanjeffrey1,Alan Jeffrey,Alan Jeffrey,Alan Jeffrey,A5012868882,0000-0001-6342-0318,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2017.0,2017,4,2,False,True
alanschmitt,Alan Schmitt,Alan Schmitt,Alan Schmitt,A5013605827,,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,False,2021.0,2021,1,1,False,False
alastairreid,Alastair Reid,Alastair Reid,Alastair Reid,A5000183647,0000-0003-4695-6668,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2023.0,2023,2,1,False,True
alcidesfonseca,Alcides Fonseca,Alcides Fonseca,Alcides Fonseca,A5089334093,0000-0002-0879-4015,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2023.0,2023,1,1,False,True
alejandroaguirre1,Alejandro Aguirre,Alejandro Aguirre,Alejandro Aguirre,A5073092626,0000-0001-6746-2734,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2024.0,2024,3,3,False,True
alejandrorusso,Alejandro Russo,Alejandro Russo,Alejandro Russo,A5028178671,0000-0002-4338-6316,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,False,2018.0,2018,2,1,False,False
aleksandarnanevski,Aleksandar Nanevski,Aleksandar Nanevski,Aleksandar Nanevski,A5026624853,0000-0002-4851-1075,0000-0002-4851-1075,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2018.0,2018,4,3,True,True
alexpotanin,Alex Potanin,Alex Potanin,Alex Potanin,A5057086547,0000-0002-4242-2725,0000-0002-4242-2725,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2019.0,2019,5,4,True,True
alexreinking1,Alex Reinking,Alex Reinking,Alex Reinking,A5065315146,0000-0003-3285-2112,0000-0003-3285-2112,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2025.0,2025,1,1,True,True
alexsanchezstern2,Alex Sanchez-Stern,Alex Sanchez-Stern,Alex Sanchez-Stern,A5088457102,0000-0003-0600-7898,0000-0003-0600-7898,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2024.0,2024,1,1,True,True
alexavanhattum1,Alexa VanHattum,Alexa VanHattum,Alexa VanHattum,A5029623128,0000-0001-6128-8907,0000-0001-6128-8907,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2025.0,2025,1,1,True,True
alexanderbakst,Alexander Bakst,Alexander Bakst,Alexander Bakst,A5054040964,0000-0002-9696-7157,0000-0002-9696-7157,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2025.0,2025,1,1,True,True
alexanderklew,Alexander K. Lew,Alexander K. Lew,Alexander K. Lew,A5056016273,0000-0002-9262-4392,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2025.0,2025,1,1,False,True
alexandrabugariu,Alexandra Bugariu,Alexandra Bugariu,Alexandra Bugariu,A5064460214,0000-0002-7412-0895,0000-0002-7412-0895,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2024.0,2024,2,2,True,True
alexandrajimborean,Alexandra Jimborean,Alexandra Jimborean,Alexandra Jimborean,A5039379608,0000-0001-8642-2447,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2020.0,2020,2,1,False,True
alexandremoine,Alexandre Moine,Alexandre Moine,Alexandre Moine,A5022449209,0000-0002-2169-1977,0000-0002-2169-1977,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2025.0,2025,1,1,True,True
alexeygotsman,Alexey Gotsman,Alexey Gotsman,Alexey Gotsman,A5068242118,0000-0002-2454-4171,0000-0002-2454-4171,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2020.0,2020,2,1,True,True
alvincheung,Alvin Cheung,Alvin Cheung,Alvin Cheung,A5059427197,0000-0001-6261-6263,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,False,2017.0,2017,7,4,False,False
amalahmed,Amal Ahmed,Amal Ahmed,Amal Ahmed,A5084250644,0000-0001-7424-572X,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,False,2019.0,2019,6,5,False,False
amintimany,Amin Timany,Amin Timany,Amin Timany,A5030831735,0000-0002-2237-851X,0000-0002-2237-851X,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2021.0,2021,3,3,True,True
amosrobinson,Amos Robinson,Amos Robinson,Amos Robinson,A5027828112,,0009-0004-4837-4981,exact_name_one_openalex_author_id,YELLOW,no_openalex_orcid_to_compare,False,2023.0,2023,1,1,False,False
amrsabry,Amr Sabry,Amr Sabry,Amr Sabry,A5084476883,0000-0002-1025-7331,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2018.0,2018,2,1,False,True
anamilanova,Ana Milanova,Ana Milanova,Ana Milanova,A5083326011,0009-0005-9667-5276,0009-0005-9667-5276,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2017.0,2017,10,4,True,True
anasokolova,Ana Sokolova,Ana Sokolova,Ana Sokolova,A5074223895,0000-0002-8384-3438,0000-0002-8384-3438,exact_name_one_openalex_author_id,YELLOW,orcid_agrees,False,2021.0,2021,1,1,True,False
andersmiltner1,Anders Miltner,Anders Miltner,Anders Miltner,A5001856793,0000-0002-8338-4008,0000-0002-8338-4008,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2022.0,2022,2,1,True,True
andersmoller,Anders Møller,Anders Møller,Anders Møller,A5103189175,0000-0003-1333-2314,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,False,2017.0,2017,7,4,False,False
andreavezzosi2,Andrea Vezzosi,Andrea Vezzosi,Andrea Vezzosi,A5066208562,0000-0001-9570-9407,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2024.0,2024,1,1,False,True
andreasabel,Andreas Abel,Andreas Abel,Andreas Abel,A5008534457,0000-0003-0420-4492,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2019.0,2019,4,2,False,True
andreaspavlogiannis1,Andreas Pavlogiannis,Andreas Pavlogiannis,Andreas Pavlogiannis,A5022252401,0000-0002-8943-0722,0000-0002-8943-0722,exact_name_one_openalex_author_id,YELLOW,orcid_agrees,False,2021.0,2021,4,3,True,False
andreaspodelski,Andreas Podelski,Andreas Podelski,Andreas Podelski,A5062411838,0000-0003-2540-9489,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2019.0,2019,2,1,False,True
andreasrossberg,Andreas Rossberg,Andreas Rossberg,Andreas Rossberg,A5054382677,0000-0003-3137-3160,0000-0003-3137-3160,exact_name_one_openalex_author_id,GREEN,orcid_agrees,True,2018.0,2018,5,3,True,True
andreaszeller,Andreas Zeller,Andreas Zeller,Andreas Zeller,A5051672229,0000-0003-4719-8803,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,False,2017.0,2017,4,3,False,False
andreeacostea,Andreea Costea,Andreea Costea,Andreea Costea,A5082345697,0000-0002-9089-9392,,exact_name_one_openalex_author_id,YELLOW,orcid_org_not_unique,True,2023.0,2023,1,1,False,True
