group,event_time,event_units,defined_source_shares,defined_delta_shares,zero_total_citation_years,mean_source_share_pct,source_share_ci_low_pct,source_share_ci_high_pct,mean_delta_source_share_pp,delta_ci_low_pp,delta_ci_high_pp
All,-2,263,231,231,32,32.886,29.307,36.806,0.0,0.0,0.0
All,-1,263,239,221,24,32.532,28.898,36.209,-1.612,-6.418,2.82
All,0,263,241,220,22,35.191,31.765,38.644,2.504,-2.24,6.975
All,1,263,248,222,15,32.656,29.051,36.31,-0.48,-5.243,4.253
All,2,263,252,226,11,26.389,23.409,29.442,-5.307,-9.538,-0.585
ICFP,-2,85,74,74,11,32.663,25.404,40.564,0.0,0.0,0.0
ICFP,-1,85,76,68,9,28.473,21.56,35.048,-5.245,-14.072,3.98
ICFP,0,85,81,72,4,30.068,25.173,35.885,-1.155,-10.538,7.516
ICFP,1,85,78,69,7,27.425,21.144,34.017,-4.468,-12.518,3.689
ICFP,2,85,84,74,1,21.352,16.33,26.434,-11.852,-20.884,-3.645
OOPSLA,-2,21,20,20,1,45.151,32.294,58.369,0.0,0.0,0.0
OOPSLA,-1,21,19,19,2,35.6,23.459,49.25,-9.296,-29.602,12.878
OOPSLA,0,21,20,19,1,42.434,32.805,52.029,-2.86,-15.864,10.971
OOPSLA,1,21,19,18,2,53.523,40.532,65.834,3.551,-10.324,17.219
OOPSLA,2,21,20,20,1,31.095,19.606,42.925,-14.057,-25.989,-3.236
PLDI 2021 onward,-2,84,68,68,16,34.692,28.317,41.634,0.0,0.0,0.0
PLDI 2021 onward,-1,84,74,67,10,35.409,29.188,42.112,-0.694,-9.012,7.027
PLDI 2021 onward,0,84,67,60,17,38.986,32.534,45.562,4.245,-5.97,13.693
PLDI 2021 onward,1,84,79,66,5,40.018,33.219,46.887,4.101,-5.919,13.375
PLDI 2021 onward,2,84,79,66,5,29.96,23.97,35.629,-1.49,-10.583,7.428
PLDI before 2021,-2,16,15,15,1,28.997,16.566,43.852,0.0,0.0,0.0
PLDI before 2021,-1,16,14,13,2,26.05,14.173,38.177,-2.07,-19.833,16.579
PLDI before 2021,0,16,14,14,2,26.513,14.273,41.697,-3.364,-19.571,15.84
PLDI before 2021,1,16,14,13,2,34.406,20.311,50.096,1.031,-16.755,20.962
PLDI before 2021,2,16,13,12,3,28.959,15.198,45.315,0.404,-21.729,23.687
POPL,-2,94,89,89,5,31.693,26.375,37.069,0.0,0.0,0.0
POPL,-1,94,89,86,5,33.607,28.217,39.27,0.547,-6.445,7.425
POPL,0,94,93,88,1,36.919,31.207,42.57,4.312,-2.277,10.87
POPL,1,94,91,87,3,30.749,25.676,36.025,-0.792,-7.978,6.274
POPL,2,94,89,86,5,27.973,23.343,32.564,-2.604,-8.389,3.324
