event_unit_id,researcher_id,name,conference,analysis_conference,pc_year,baseline_source_share,baseline_defined_years,pc_year_source_share,pc_year_delta_source_share,pc_year_citations,pc_year_total_studied_citations,pc_year_source_share_pct,pc_year_delta_source_share_pp
abhinavverma1|PLDI|2023,abhinavverma1,Abhinav Verma,PLDI,PLDI 2021 onward,2023,,0,,,0.0,0.0,,
adriansampson|PLDI|2020,adriansampson,Adrian Sampson,PLDI,PLDI before 2021,2020,0.25,1,0.0,-0.25,0.0,6.0,0.0,-25.0
aggelosbiboudis|ICFP|2023,aggelosbiboudis,Aggelos Biboudis,ICFP,ICFP,2023,0.0,1,0.2,0.2,1.0,5.0,20.0,20.0
akashlal|POPL|2023,akashlal,Akash Lal,POPL,POPL,2023,0.3333333333333333,1,0.25,-0.08333333333333331,3.0,12.0,25.0,-8.333333333333332
akimasamorihata|ICFP|2021,akimasamorihata,Akimasa Morihata,ICFP,ICFP,2021,0.7142857142857143,1,0.16666666666666666,-0.5476190476190477,2.0,12.0,16.666666666666664,-54.761904761904766
alanschmitt|POPL|2021,alanschmitt,Alan Schmitt,POPL,POPL,2021,0.36363636363636365,1,0.0,-0.36363636363636365,0.0,3.0,0.0,-36.36363636363637
alcidesfonseca|PLDI|2023,alcidesfonseca,Alcides Fonseca,PLDI,PLDI 2021 onward,2023,,0,,,0.0,0.0,,
amalahmed|PLDI|2019,amalahmed,Amal Ahmed,PLDI,PLDI before 2021,2019,0.2571428571428571,1,0.06557377049180328,-0.19156908665105382,4.0,61.0,6.557377049180328,-19.156908665105384
amintimany|ICFP|2021,amintimany,Amin Timany,ICFP,ICFP,2021,0.25,1,0.20930232558139536,-0.04069767441860464,9.0,43.0,20.930232558139537,-4.069767441860464
anasokolova|POPL|2021,anasokolova,Ana Sokolova,POPL,POPL,2021,0.0,1,,,0.0,0.0,,
andreeacostea|ICFP|2023,andreeacostea,Andreea Costea,ICFP,ICFP,2023,,0,0.6666666666666666,,2.0,3.0,66.66666666666666,
andrejbauer|POPL|2020,andrejbauer,Andrej Bauer,POPL,POPL,2020,0.3333333333333333,1,0.5,0.16666666666666669,2.0,4.0,50.0,16.666666666666668
andresloh|ICFP|2022,andresloh,Andres Löh,ICFP,ICFP,2022,0.25,1,0.75,0.5,9.0,12.0,75.0,50.0
andrewkhirsch|ICFP|2023,andrewkhirsch,Andrew K. Hirsch,ICFP,ICFP,2023,,0,0.3333333333333333,,1.0,3.0,33.33333333333333,
andygill|ICFP|2023,andygill,Andy Gill,ICFP,ICFP,2023,0.25,1,0.25,0.0,1.0,4.0,25.0,0.0
anilmadhavapeddy|PLDI|2021,anilmadhavapeddy,Anil Madhavapeddy,PLDI,PLDI 2021 onward,2021,0.125,1,0.3076923076923077,0.1826923076923077,4.0,13.0,30.76923076923077,18.26923076923077
annettebieniusa|POPL|2021,annettebieniusa,Annette Bieniusa,POPL,POPL,2021,,0,0.0,,0.0,2.0,0.0,
arjunguha|ICFP|2021,arjunguha,Arjun Guha,ICFP,ICFP,2021,0.0,1,0.18181818181818182,0.18181818181818182,2.0,11.0,18.181818181818183,18.181818181818183
arjunguha|POPL|2020,arjunguha,Arjun Guha,POPL,POPL,2020,0.15384615384615385,1,0.4,0.24615384615384617,4.0,10.0,40.0,24.615384615384617
