researcher_id,name,openalex_id,match_confidence,orcid_org_comparison,ideal_openalex_case,raw_first_publication_fetch_status,raw_first_publication_year,raw_first_publication_work_id,first_cs_publication_fetch_status,first_cs_publication_year,first_cs_publication_work_id,author_profile_fetch_status,h_index,h_index_fetch_date
aaronstump,Aaron Stump,A5072489480,GREEN,orcid_agrees,True,cached_ok,1999,https://openalex.org/W1631146593,fetched_ok,2000,https://openalex.org/W1534557881,cached_ok,25,2026-06-12
abhinavverma1,Abhinav Verma,A5101988843,YELLOW,orcid_org_not_unique,True,cached_ok,2008,https://openalex.org/W2151091462,fetched_ok,2011,https://openalex.org/W1901947321,cached_ok,9,2026-06-12
adamchlipala,Adam Chlipala,A5078100439,YELLOW,orcid_org_not_unique,False,cached_ok,2004,https://openalex.org/W1556262481,fetched_ok,2004,https://openalex.org/W1556262481,cached_ok,29,2026-06-12
adamwelc,Adam Welc,A5078668785,GREEN,orcid_agrees,True,cached_ok,2004,https://openalex.org/W4245339677,fetched_ok,2004,https://openalex.org/W4245339677,cached_ok,20,2026-06-12
adriansampson,Adrian Sampson,A5004782337,GREEN,orcid_agrees,True,cached_ok,2008,https://openalex.org/W2110880714,fetched_ok,2008,https://openalex.org/W2110880714,cached_ok,22,2026-06-12
aggelosbiboudis,Aggelos Biboudis,A5089315679,YELLOW,orcid_org_not_unique,False,cached_ok,2013,https://openalex.org/W2164242899,fetched_ok,2013,https://openalex.org/W2164242899,cached_ok,8,2026-06-12
ahmedbouajjani,Ahmed Bouajjani,A5045477471,GREEN,orcid_agrees,True,cached_ok,1989,https://openalex.org/W1546586445,fetched_ok,1989,https://openalex.org/W1546586445,cached_ok,43,2026-06-12
ainalinngeorges,Aina Linn Georges,A5041169923,YELLOW,orcid_org_not_unique,True,cached_ok,2014,https://openalex.org/W2560662321,fetched_ok,2014,https://openalex.org/W2560662321,cached_ok,6,2026-06-12
akashlal,Akash Lal,A5029930688,YELLOW,orcid_org_not_unique,True,cached_ok,2002,https://openalex.org/W2740783002,fetched_ok,2002,https://openalex.org/W2740783002,cached_ok,22,2026-06-12
akimasamorihata,Akimasa Morihata,A5037284935,YELLOW,orcid_org_not_unique,True,cached_ok,2005,https://openalex.org/W2185105587,fetched_ok,2005,https://openalex.org/W2185105587,cached_ok,7,2026-06-12
alanjeffrey1,Alan Jeffrey,A5012868882,YELLOW,orcid_org_not_unique,True,cached_ok,1960,https://openalex.org/W1965316082,fetched_ok,1961,https://openalex.org/W625540797,cached_ok,39,2026-06-12
alanschmitt,Alan Schmitt,A5013605827,YELLOW,orcid_org_not_unique,False,cached_ok,1969,https://openalex.org/W406516242,fetched_ok,2000,https://openalex.org/W1577383226,cached_ok,20,2026-06-12
alastairreid,Alastair Reid,A5000183647,YELLOW,orcid_org_not_unique,True,cached_ok,1990,https://openalex.org/W1533560332,fetched_ok,1990,https://openalex.org/W1533560332,cached_ok,19,2026-06-12
alcidesfonseca,Alcides Fonseca,A5089334093,YELLOW,orcid_org_not_unique,True,cached_ok,1987,https://openalex.org/W2302426048,fetched_ok,1987,https://openalex.org/W2302426048,cached_ok,10,2026-06-12
alejandroaguirre1,Alejandro Aguirre,A5073092626,YELLOW,orcid_org_not_unique,True,cached_ok,2005,https://openalex.org/W75275689,fetched_ok,2016,https://openalex.org/W3215029739,cached_ok,9,2026-06-12
alejandrorusso,Alejandro Russo,A5028178671,YELLOW,orcid_org_not_unique,False,cached_ok,1994,https://openalex.org/W2255518206,fetched_ok,1994,https://openalex.org/W2255518206,cached_ok,24,2026-06-12
aleksandarnanevski,Aleksandar Nanevski,A5026624853,GREEN,orcid_agrees,True,cached_ok,2001,https://openalex.org/W4242799047,fetched_ok,2001,https://openalex.org/W4242799047,cached_ok,24,2026-06-12
alexpotanin,Alex Potanin,A5057086547,GREEN,orcid_agrees,True,cached_ok,2002,https://openalex.org/W1558893343,fetched_ok,2002,https://openalex.org/W1558893343,cached_ok,17,2026-06-12
alexreinking1,Alex Reinking,A5065315146,GREEN,orcid_agrees,True,cached_ok,2015,https://openalex.org/W951206141,fetched_ok,2015,https://openalex.org/W951206141,cached_ok,4,2026-06-12
alexsanchezstern2,Alex Sanchez-Stern,A5088457102,GREEN,orcid_agrees,True,cached_ok,2015,https://openalex.org/W4242955624,fetched_ok,2015,https://openalex.org/W4242955624,cached_ok,8,2026-06-12
alexavanhattum1,Alexa VanHattum,A5029623128,GREEN,orcid_agrees,True,cached_ok,2020,https://openalex.org/W3030475914,fetched_ok,2020,https://openalex.org/W3030475914,cached_ok,5,2026-06-12
alexanderbakst,Alexander Bakst,A5054040964,GREEN,orcid_agrees,True,cached_ok,2009,https://openalex.org/W1565721628,fetched_ok,2009,https://openalex.org/W1565721628,cached_ok,6,2026-06-12
