researcher_id,name,pc_year,event_time,year,referenced_work_id,cited_work_title,cited_work_doi,cited_publication_year,cited_work_age_years,reference_edges,unique_citing_papers,citing_papers,citing_authors,direct_self_edges,coauthor_mediated_edges,coauthor_overlap_names
ezgicicek,Ezgi Çiçek,2019,-2,2017,W2565334366,,,2016.0,1.0,1,1,A relational logic for higher-order programs,Alejandro Aguirre; Gilles Barthe; Marco Gaboardi; Deepak Garg; Pierre-Yves Strub,0,1,Deepak Garg; Gilles Barthe
ezgicicek,Ezgi Çiçek,2019,-1,2018,W2514317887,,,2016.0,2.0,1,1,Casts and costs: harmonizing safety and performance in gradual typing,John Peter Campora; Sheng Chen; Eric Walkingshaw,0,0,
ezgicicek,Ezgi Çiçek,2019,-1,2018,W2565334366,,,2016.0,2.0,2,2,Casts and costs: harmonizing safety and performance in gradual typing | Parallel complexity analysis with temporal session types,Ankush Das; Jan Hoffmann; Frank Pfenning | John Peter Campora; Sheng Chen; Eric Walkingshaw,0,1, | Jan Hoffmann
ezgicicek,Ezgi Çiçek,2019,-1,2018,W3004472005,,,2016.0,2.0,1,1,Casts and costs: harmonizing safety and performance in gradual typing,John Peter Campora; Sheng Chen; Eric Walkingshaw,0,0,
ezgicicek,Ezgi Çiçek,2019,-1,2018,W3014043685,,,2017.0,1.0,1,1,Casts and costs: harmonizing safety and performance in gradual typing,John Peter Campora; Sheng Chen; Eric Walkingshaw,0,0,
ezgicicek,Ezgi Çiçek,2019,0,2019,W2119859640,,,2015.0,4.0,1,1,Closure conversion is safe for space,Zoe Paraskevopoulou; Andrew W. Appel,0,0,
ezgicicek,Ezgi Çiçek,2019,0,2019,W2514317887,,,2016.0,3.0,2,2,Closure conversion is safe for space | Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg | Zoe Paraskevopoulou; Andrew W. Appel,0,2,Deepak Garg | Zoe Paraskevopoulou
ezgicicek,Ezgi Çiçek,2019,0,2019,W2565334366,,,2016.0,3.0,2,2,Closure conversion is safe for space | Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg | Zoe Paraskevopoulou; Andrew W. Appel,0,1, | Deepak Garg
ezgicicek,Ezgi Çiçek,2019,0,2019,W3004472005,,,2016.0,3.0,1,1,Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg,0,1,Deepak Garg
ezgicicek,Ezgi Çiçek,2019,0,2019,W3014043685,,,2017.0,2.0,1,1,Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg,0,1,Deepak Garg
ezgicicek,Ezgi Çiçek,2019,1,2020,W2565334366,,,2016.0,4.0,2,2,Liquid resource types | Raising expectations: automating expected cost analysis with types,Di Wang; David Kahn; Jan Hoffmann | Tristan Knoth; Di Wang; Adam Reynolds; Jan Hoffmann; Nadia Polikarpova,0,2,Jan Hoffmann
malgorzatabiernacka,Malgorzata Biernacka,2022,0,2022,W1981224255,,,2007.0,15.0,1,1,A simple and efficient implementation of strong call by need by an abstract machine,Małgorzata Biernacka; Witold Charatonik; Tomasz Drab,1,1,Małgorzata Biernacka
malgorzatabiernacka,Malgorzata Biernacka,2022,0,2022,W2758862544,,,2017.0,5.0,1,1,A simple and efficient implementation of strong call by need by an abstract machine,Małgorzata Biernacka; Witold Charatonik; Tomasz Drab,1,1,Małgorzata Biernacka; Witold Charatonik
malgorzatabiernacka,Malgorzata Biernacka,2022,0,2022,W2953874395,,,2019.0,3.0,1,1,A simple and efficient implementation of strong call by need by an abstract machine,Małgorzata Biernacka; Witold Charatonik; Tomasz Drab,1,1,Małgorzata Biernacka; Witold Charatonik
malgorzatabiernacka,Malgorzata Biernacka,2022,0,2022,W3206834158,,,2021.0,1.0,1,1,A simple and efficient implementation of strong call by need by an abstract machine,Małgorzata Biernacka; Witold Charatonik; Tomasz Drab,1,1,Małgorzata Biernacka; Tomasz Drab; Witold Charatonik
malgorzatabiernacka,Malgorzata Biernacka,2022,1,2023,W2758862544,,,2017.0,6.0,1,1,A General Fine-Grained Reduction Theory for Effect Handlers,Filip Sieczkowski; Mateusz Pyzik; Dariusz Biernacki,0,0,
martinelsman,Martin Elsman,2018,0,2018,W2143028982,,,1999.0,19.0,1,1,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,1,1,Martin Elsman
martinelsman,Martin Elsman,2018,0,2018,W1983895125,,,2014.0,4.0,1,1,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,1,1,Martin Elsman
martinelsman,Martin Elsman,2018,0,2018,W2024712769,,,2014.0,4.0,1,1,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,1,1,Cosmin E. Oancea; Martin Elsman; Troels Henriksen
martinelsman,Martin Elsman,2018,0,2018,W2472217442,,,2016.0,2.0,1,1,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,1,1,Cosmin E. Oancea; Martin Elsman; Troels Henriksen
martinelsman,Martin Elsman,2018,0,2018,W2517263820,,,2016.0,2.0,1,1,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,1,1,Cosmin E. Oancea; Martin Elsman; Troels Henriksen
martinelsman,Martin Elsman,2018,0,2018,W2644985445,,,2017.0,1.0,1,1,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,1,1,Cosmin E. Oancea; Martin Elsman; Troels Henriksen
martinelsman,Martin Elsman,2018,0,2018,W2887375098,,,2018.0,0.0,1,1,Static interpretation of higher-order modules in Futhark: functional GPU programming in the large,Martin Elsman; Troels Henriksen; Danil Annenkov; Cosmin E. Oancea,1,1,Danil Annenkov; Martin Elsman
martinelsman,Martin Elsman,2018,1,2019,W1566738919,,,2004.0,15.0,1,1,Lambda: the ultimate sublanguage (experience report),Jeremy Yallop; Leo White,0,0,
martinelsman,Martin Elsman,2018,1,2019,W2644985445,,,2017.0,2.0,2,2,Efficient differentiable programming in a functional array-processing language | Lambda calculus with algebraic simplification for reduction parallelization by equational reasoning,Akimasa Morihata | Amir Shaikhha; Andrew Fitzgibbon; Dimitrios Vytiniotis; Simon Peyton Jones,0,0,
martinelsman,Martin Elsman,2018,2,2020,W2644985445,,,2017.0,3.0,1,1,Achieving high-performance the functional way: a functional pearl on expressing high-performance optimizations as rewrite strategies,Bastian Hagedorn; Johannes Lenfers; Thomas Kœhler; Xueying Qin; Sergei Gorlatch; Michel Steuwer,0,0,
martinelsman,Martin Elsman,2018,2,2020,W4235593108,,,2017.0,3.0,1,1,Achieving high-performance the functional way: a functional pearl on expressing high-performance optimizations as rewrite strategies,Bastian Hagedorn; Johannes Lenfers; Thomas Kœhler; Xueying Qin; Sergei Gorlatch; Michel Steuwer,0,0,
peterthiemann,Peter Thiemann,2023,-2,2021,W2083878525,,,1998.0,23.0,1,1,Newly-single and loving it: improving higher-order must-alias analysis with heap fragments,Kimball Germane; Jay McCarthy,0,0,
peterthiemann,Peter Thiemann,2023,-2,2021,W2032131014,,,2001.0,20.0,1,1,Symbolic and automatic differentiation of languages,Conal Elliott,0,0,
peterthiemann,Peter Thiemann,2023,-2,2021,W202191487,,,2009.0,12.0,1,1,Of JavaScript AOT compilation performance,Manuel Serrano,0,0,
peterthiemann,Peter Thiemann,2023,-1,2022,W2088295995,,,2015.0,7.0,1,1,Propositional equality for gradual dependently typed programming,Joseph Eremondi; Ronald Garcia; Éric Tanter,0,0,
peterthiemann,Peter Thiemann,2023,-1,2022,W3014307583,,,2020.0,2.0,1,1,Multiparty GV: functional multiparty session types with certified deadlock freedom,Jules Jacobs; Stephanie Balzer; Robbert Krebbers,0,0,
peterthiemann,Peter Thiemann,2023,0,2023,W2146369345,,,1999.0,24.0,1,1,Intrinsically Typed Sessions with Callbacks (Functional Pearl),Peter Thiemann,1,1,Peter Thiemann
peterthiemann,Peter Thiemann,2023,0,2023,W2112965682,,,2004.0,19.0,1,1,Intrinsically Typed Sessions with Callbacks (Functional Pearl),Peter Thiemann,1,1,Peter Thiemann
peterthiemann,Peter Thiemann,2023,0,2023,W202191487,,,2009.0,14.0,1,1,Combinator-Based Fixpoint Algorithms for Big-Step Abstract Interpreters,Sven Keidel; Sebastian Erdweg; Tobias Hombücher,0,0,
peterthiemann,Peter Thiemann,2023,0,2023,W2508649175,,,2016.0,7.0,1,1,Intrinsically Typed Sessions with Callbacks (Functional Pearl),Peter Thiemann,1,1,Peter Thiemann
peterthiemann,Peter Thiemann,2023,0,2023,W3014307583,,,2020.0,3.0,1,1,Dependent Session Protocols in Separation Logic from First Principles (Functional Pearl),Jules Jacobs; Jonas Kastberg Hinrichsen; Robbert Krebbers,0,0,
peterthiemann,Peter Thiemann,2023,0,2023,W3093091986,,,2022.0,1.0,1,1,Dependent Session Protocols in Separation Logic from First Principles (Functional Pearl),Jules Jacobs; Jonas Kastberg Hinrichsen; Robbert Krebbers,0,0,
peterthiemann,Peter Thiemann,2023,0,2023,W4289856072,,,2022.0,1.0,1,1,Intrinsically Typed Sessions with Callbacks (Functional Pearl),Peter Thiemann,1,1,Peter Thiemann
peterthiemann,Peter Thiemann,2023,0,2023,W4307934025,,,2022.0,1.0,1,1,Dependent Session Protocols in Separation Logic from First Principles (Functional Pearl),Jules Jacobs; Jonas Kastberg Hinrichsen; Robbert Krebbers,0,0,
peterthiemann,Peter Thiemann,2023,1,2024,W2064730464,,,1995.0,29.0,1,1,Double-Ended Bit-Stealing for Algebraic Data Types,Martin Elsman,0,0,
peterthiemann,Peter Thiemann,2023,2,2025,W2083878525,,,1998.0,27.0,1,1,Environment-Sharing Analysis and Caller-Provided Environments for Higher-Order Languages,J. A. Carr; Benjamin Quiring; John Reppy; Olin Shivers; Skye Soss; Byron Zhong,0,0,
peterthiemann,Peter Thiemann,2023,2,2025,W2051748913,,,2013.0,12.0,1,1,Robust Dynamic Embedding for Gradual Typing,Koen Jacobs; Matías Toro; Nicolas Tabareau; Éric Tanter,0,0,
peterthiemann,Peter Thiemann,2023,2,2025,W2084790882,,,2014.0,11.0,1,1,Multi-stage Programming with Splice Variables,Tsung-Ju Chiang; Ningning Xie,0,0,
peterthiemann,Peter Thiemann,2023,2,2025,W2508649175,,,2016.0,9.0,1,1,Fusing Session-Typed Concurrent Programming into Functional Programming,Chuta Sano; Deepak Garg; Ryan Kavanagh; Brigitte Pientka; Bernardo Toninho,0,0,
