conference,sample,sample_label,value_scale,event_time,mean,ci_lower,ci_upper,n_event_units
ICFP,all_isolated_balanced_event_units,All isolated balanced events,raw_citation_count,-2,-0.11320754716981132,-0.5425707547169811,0.3208726415094333,106
ICFP,all_isolated_balanced_event_units,All isolated balanced events,raw_citation_count,-1,0.11320754716981132,-0.32087264150943395,0.5425707547169806,106
ICFP,all_isolated_balanced_event_units,All isolated balanced events,raw_citation_count,0,0.3490566037735849,-0.30672169811320754,1.0141509433962264,106
ICFP,all_isolated_balanced_event_units,All isolated balanced events,raw_citation_count,1,-0.2358490566037736,-1.2170990566037736,0.6557783018867919,106
ICFP,all_isolated_balanced_event_units,All isolated balanced events,raw_citation_count,2,0.20754716981132076,-0.5755896226415094,0.9529481132075466,106
ICFP,all_isolated_balanced_career_age_20_plus,"All isolated balanced events, career age 20+ years",raw_citation_count,-2,-0.24358974358974358,-1.1288461538461538,0.6410256410256411,39
ICFP,all_isolated_balanced_career_age_20_plus,"All isolated balanced events, career age 20+ years",raw_citation_count,-1,0.24358974358974358,-0.6410256410256411,1.1288461538461503,39
ICFP,all_isolated_balanced_career_age_20_plus,"All isolated balanced events, career age 20+ years",raw_citation_count,0,-0.34615384615384615,-1.8208333333333333,1.141025641025641,39
ICFP,all_isolated_balanced_career_age_20_plus,"All isolated balanced events, career age 20+ years",raw_citation_count,1,-1.5512820512820513,-3.4358974358974357,0.05160256410256235,39
ICFP,all_isolated_balanced_career_age_20_plus,"All isolated balanced events, career age 20+ years",raw_citation_count,2,-1.2179487179487178,-2.5384615384615383,0.15384615384615385,39
ICFP,no_earlier_broad_service_career_age_0_9,"No earlier service, career age 0-9 years",raw_citation_count,-2,-0.6,-1.6,0.15,10
ICFP,no_earlier_broad_service_career_age_0_9,"No earlier service, career age 0-9 years",raw_citation_count,-1,0.6,-0.15,1.6,10
ICFP,no_earlier_broad_service_career_age_0_9,"No earlier service, career age 0-9 years",raw_citation_count,0,1.5,0.45,2.551249999999993,10
ICFP,no_earlier_broad_service_career_age_0_9,"No earlier service, career age 0-9 years",raw_citation_count,1,1.0,0.05,2.15,10
ICFP,no_earlier_broad_service_career_age_0_9,"No earlier service, career age 0-9 years",raw_citation_count,2,0.5,-0.5,1.45,10
ICFP,no_earlier_broad_service_career_age_10_19,"No earlier service, career age 10-19 years",raw_citation_count,-2,-0.16666666666666666,-0.6333333333333333,0.3,15
ICFP,no_earlier_broad_service_career_age_10_19,"No earlier service, career age 10-19 years",raw_citation_count,-1,0.16666666666666666,-0.3,0.6333333333333333,15
ICFP,no_earlier_broad_service_career_age_10_19,"No earlier service, career age 10-19 years",raw_citation_count,0,0.16666666666666666,-0.6666666666666666,0.9341666666666621,15
ICFP,no_earlier_broad_service_career_age_10_19,"No earlier service, career age 10-19 years",raw_citation_count,1,0.3,-0.9333333333333333,1.3666666666666667,15
ICFP,no_earlier_broad_service_career_age_10_19,"No earlier service, career age 10-19 years",raw_citation_count,2,0.9,-0.26749999999999996,2.267499999999995,15
