plot_order,cell_id,researcher_id,name,selected_conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,panel_cell_available,plotted_citation_count,rebuilt_citation_count,count_matches_trace,total_citations,rebuilt_total_citations_raw,total_matches_trace,source_share_pct,pc_status_for_source
1,0,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,ICFP,True,1.0,1.0,True,17.0,17,True,5.88235294117647,0.0
1,2,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,OOPSLA,True,3.0,3.0,True,17.0,17,True,17.647058823529413,0.0
1,3,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,PLDI,True,6.0,6.0,True,17.0,17,True,35.294117647058826,1.0
1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,True,7.0,7.0,True,17.0,17,True,41.17647058823529,0.0
1,4,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,ICFP,True,3.0,3.0,True,12.0,12,True,25.0,0.0
1,6,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,OOPSLA,True,2.0,2.0,True,12.0,12,True,16.666666666666664,0.0
1,7,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,PLDI,True,3.0,3.0,True,12.0,12,True,25.0,0.0
1,5,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,POPL,True,4.0,4.0,True,12.0,12,True,33.33333333333333,1.0
1,8,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,ICFP,True,1.0,1.0,True,20.0,20,True,5.0,1.0
1,10,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,OOPSLA,True,2.0,2.0,True,20.0,20,True,10.0,0.0
1,11,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,True,13.0,13.0,True,20.0,20,True,65.0,1.0
1,9,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,POPL,True,4.0,4.0,True,20.0,20,True,20.0,0.0
