selection_rank,panel_order,line_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,citation_count,log10_citations_plus_one,delta_log10_t_minus_2_reference,delta_raw_t_minus_2_reference,openalex_career_age_at_pc_year,google_scholar_career_age_at_pc_year
1,1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,6.0,0.8450980400142568,0.0,0.0,10,8
1,1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,3.0,0.6020599913279624,-0.24303804868629442,-3.0,10,8
1,1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,13.0,1.146128035678238,0.30102999566398114,7.0,10,8
1,1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,5.0,0.7781512503836436,-0.06694678963061318,-1.0,10,8
1,1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,,,,,10,8
1,1,2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-2,2023,2.0,0.47712125471966244,0.0,0.0,11,9
1,1,2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-1,2024,2.0,0.47712125471966244,0.0,0.0,11,9
1,1,2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,0,2025,9.0,1.0,0.5228787452803376,7.0,11,9
1,1,2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,1,2026,,,,,11,9
1,1,2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,2,2027,,,,,11,9
2,2,1,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-2,2018,5.0,0.7781512503836436,0.0,0.0,27,17
2,2,1,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-1,2019,8.0,0.9542425094393249,0.17609125905568124,3.0,27,17
