plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,citation_count,total_citations,source_share,source_share_pct,pc_status_for_source
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,ICFP,1.0,17.0,0.058823529411764705,5.88235294117647,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,POPL,7.0,17.0,0.4117647058823529,41.17647058823529,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,OOPSLA,3.0,17.0,0.17647058823529413,17.647058823529413,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,PLDI,6.0,17.0,0.35294117647058826,35.294117647058826,1.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,ICFP,3.0,12.0,0.25,25.0,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,POPL,4.0,12.0,0.3333333333333333,33.33333333333333,1.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,OOPSLA,2.0,12.0,0.16666666666666666,16.666666666666664,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,PLDI,3.0,12.0,0.25,25.0,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,ICFP,1.0,20.0,0.05,5.0,1.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,POPL,4.0,20.0,0.2,20.0,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,OOPSLA,2.0,20.0,0.1,10.0,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,13.0,20.0,0.65,65.0,1.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,ICFP,1.0,20.0,0.05,5.0,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,POPL,5.0,20.0,0.25,25.0,1.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,OOPSLA,9.0,20.0,0.45,45.0,1.0
