plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,selected_source_conferences,selected_conference_citations,all_studied_conference_citations,source_share,source_share_pct,baseline_source_share,baseline_source_share_pct,delta_source_share,delta_source_share_pp
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-2,2022,PLDI,6.0,17.0,0.35294117647058826,35.294117647058826,0.35294117647058826,35.294117647058826,0.0,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,-1,2023,PLDI,3.0,12.0,0.25,25.0,0.35294117647058826,35.294117647058826,-0.10294117647058826,-10.294117647058826
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,0,2024,PLDI,13.0,20.0,0.65,65.0,0.35294117647058826,35.294117647058826,0.29705882352941176,29.705882352941178
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,PLDI,5.0,20.0,0.25,25.0,0.35294117647058826,35.294117647058826,-0.10294117647058826,-10.294117647058826
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,PLDI,,,,,0.35294117647058826,35.294117647058826,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-2,2023,"OOPSLA1, OOPSLA2",2.0,12.0,0.16666666666666666,16.666666666666664,0.16666666666666666,16.666666666666664,0.0,0.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-1,2024,"OOPSLA1, OOPSLA2",2.0,20.0,0.1,10.0,0.16666666666666666,16.666666666666664,-0.06666666666666665,-6.666666666666665
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,0,2025,"OOPSLA1, OOPSLA2",9.0,20.0,0.45,45.0,0.16666666666666666,16.666666666666664,0.2833333333333333,28.333333333333332
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,1,2026,"OOPSLA1, OOPSLA2",,,,,0.16666666666666666,16.666666666666664,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,2,2027,"OOPSLA1, OOPSLA2",,,,,0.16666666666666666,16.666666666666664,,
