plot_order,name,conference,pc_year,selected_conference_citations,all_studied_conference_citations,source_share_pct,baseline_source_share_pct,delta_source_share_pp
1,Clément Pit-Claudel,PLDI,2024,13.0,20.0,65.0,35.294117647058826,29.705882352941178
2,Clément Pit-Claudel,OOPSLA_COMBINED,2025,9.0,20.0,45.0,16.666666666666664,28.333333333333332
3,Viktor Kunčak,OOPSLA,2020,20.0,37.0,54.054054054054056,16.666666666666664,37.38738738738739
4,Viktor Kunčak,PLDI,2021,18.0,36.0,50.0,35.483870967741936,14.516129032258062
5,Peter Thiemann,ICFP,2023,8.0,21.0,38.095238095238095,21.428571428571427,16.666666666666664
6,Simon J. Gay,ICFP,2023,11.0,22.0,50.0,28.57142857142857,21.42857142857143
7,Ezgi Çiçek,ICFP,2019,7.0,12.0,58.333333333333336,16.666666666666664,41.66666666666667
8,Brandon Lucia,OOPSLA,2019,24.0,46.0,52.17391304347826,76.92307692307693,-24.74916387959867
9,Jonathan Immanuel Brachthäuser,POPL,2024,16.0,45.0,35.55555555555556,0.0,35.55555555555556
10,Fritz Henglein,POPL,2024,13.0,25.0,52.0,33.33333333333333,18.66666666666667
