selection_rank,panel_order,line_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,selected_trajectory_version,google_scholar_screenshot_date,citation_t_minus_2,citation_t_minus_1,citation_t_0,citation_t_plus_1,citation_t_plus_2,openalex_career_age_at_pc_year,career_age_at_pc_year,career_age_label,career_age_publication_year,career_age_publication_year_status,google_scholar_first_citation_year,google_scholar_career_age_at_pc_year,google_scholar_screenshot_file,selected_legend_label,baseline_raw_citations,pc_year_jump_raw,jump_t_minus_1_to_t0_raw,fade_t0_to_t_plus_1_raw,spike_and_fade_raw,marker_definition,figure_annotation_mode
1,1,1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,selected_researchers_final_no_story_nodes,"June 13, 2026",6.0,3.0,13.0,5.0,,10,10,career age 10,2014.0,usable_1980_or_later,2016,8,Clement_.png,PLDI 2024,4.5,8.5,10.0,-8.0,True,trajectory_only,multi_researcher_selected_trajectories
1,1,2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,selected_researchers_final_no_story_nodes,"June 13, 2026",2.0,2.0,9.0,,,11,11,career age 11,2014.0,usable_1980_or_later,2016,9,Clement_.png,OOPSLA 2025,2.0,7.0,7.0,,False,trajectory_only,multi_researcher_selected_trajectories
2,2,1,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,selected_researchers_final_no_story_nodes,"June 13, 2026",5.0,8.0,20.0,10.0,,27,27,career age 27,1993.0,usable_1980_or_later,2003,17,victor_kuncak.png,OOPSLA 2020,6.5,13.5,12.0,-10.0,True,trajectory_only,multi_researcher_selected_trajectories
2,2,2,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,selected_researchers_final_no_story_nodes,"June 13, 2026",11.0,7.0,18.0,5.0,7.0,28,28,career age 28,1993.0,usable_1980_or_later,2003,18,victor_kuncak.png,PLDI 2021,9.0,9.0,11.0,-13.0,True,trajectory_only,multi_researcher_selected_trajectories
3,3,1,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,selected_researchers_final_no_story_nodes,"June 13, 2026",3.0,2.0,8.0,1.0,4.0,33,33,career age 33,1990.0,usable_1980_or_later,1995,28,Peter_thieman.png,ICFP 2023,2.5,5.5,6.0,-7.0,True,trajectory_only,multi_researcher_selected_trajectories
4,4,1,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,selected_researchers_final_no_story_nodes,"June 13, 2026",2.0,3.0,11.0,0.0,1.0,30,30,career age 30,1993.0,usable_1980_or_later,1994,29,simon_j_gay.png,ICFP 2023,2.5,8.5,8.0,-11.0,True,trajectory_only,multi_researcher_selected_trajectories
5,5,1,martinelsman,Martin Elsman,ICFP,ICFP,2024,ICFP 2024,selected_researchers_final_no_story_nodes,"June 13, 2026",0.0,0.0,8.0,1.0,,26,26,career age 26,1998.0,usable_1980_or_later,1997,27,Martin_Elsman_career_age_ICFP.png,ICFP 2024,0.0,8.0,8.0,-7.0,True,trajectory_only,multi_researcher_selected_trajectories
6,6,1,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,selected_researchers_final_no_story_nodes,"June 13, 2026",1.0,5.0,7.0,2.0,0.0,4,4,career age 4,2015.0,usable_1980_or_later,2014,5,Ezgi_Çiçek_Career_Age_ICFP.png,ICFP 2019,3.0,4.0,2.0,-5.0,True,trajectory_only,multi_researcher_selected_trajectories
7,7,1,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,selected_researchers_final_no_story_nodes,"June 13, 2026",10.0,1.0,24.0,14.0,0.0,11,11,career age 11,2008.0,usable_1980_or_later,2009,10,Brandon Lucia.png,OOPSLA 2019,5.5,18.5,23.0,-10.0,True,trajectory_only,multi_researcher_selected_trajectories
8,8,1,jonathanbrachthauser,Jonathan Immanuel Brachthäuser,POPL,POPL,2024,POPL 2024,selected_researchers_final_no_story_nodes,"June 13, 2026",0.0,1.0,16.0,2.0,,10,10,career age 10,2014.0,usable_1980_or_later,2014,10,Jonathan Immanuel Brachthäuser .png,POPL 2024,0.5,15.5,15.0,-14.0,True,trajectory_only,multi_researcher_selected_trajectories
9,9,1,fritzhenglein,Fritz Henglein,POPL,POPL,2024,POPL 2024,selected_researchers_final_no_story_nodes,"June 13, 2026",2.0,0.0,13.0,2.0,,39,39,career age 39,1985.0,usable_1980_or_later,1991,33,fritz_henglein.png,POPL 2024,1.0,12.0,13.0,-11.0,True,trajectory_only,multi_researcher_selected_trajectories
10,10,1,malgorzatabiernacka,Malgorzata Biernacka,ICFP,ICFP,2022,ICFP 2022,selected_researchers_final_no_story_nodes,"June 13, 2026",0.0,0.0,4.0,1.0,0.0,18,18,career age 18,2004.0,manual_override,2004,18,Malgorzata Biernacka_career_age_ICFP.png,ICFP 2022,0.0,4.0,4.0,-3.0,True,trajectory_only,multi_researcher_selected_trajectories
