researcher_id,name,pc_year,selected_conference,event_time,year,conference,citing_work_id,citing_title,citing_authors,citing_doi,referenced_work_id,cited_work_title,cited_work_doi,ref_author_name,ref_author_id,ref_orcid,cited_publication_year,cited_work_age_years,citation_key_type,citation_key_value,author_position,is_self_citation,has_citing_author_on_cited_work,citing_author_overlap_names
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2968771279,CLOTHO: directed test generation for weakly consistent database systems,Kia Rahmani; Kartik Nagar; Benjamin Delaware; Suresh Jagannathan,https://doi.org/10.1145/3360543,W2138640277,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2015.0,4.0,openalex_author_id,A5076249757,middle,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2968771279,CLOTHO: directed test generation for weakly consistent database systems,Kia Rahmani; Kartik Nagar; Benjamin Delaware; Suresh Jagannathan,https://doi.org/10.1145/3360543,W2171008784,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2010.0,9.0,openalex_author_id,A5076249757,first,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2943629542,"Dependence-aware, unbounded sound predictive race detection",Kaan Genç; Jake Roemer; XU Yu-fan; Michael D. Bond,https://doi.org/10.1145/3360605,W2068530820,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2015.0,4.0,openalex_author_id,A5076249757,last,False,True,Michael D. Bond
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2943629542,"Dependence-aware, unbounded sound predictive race detection",Kaan Genç; Jake Roemer; XU Yu-fan; Michael D. Bond,https://doi.org/10.1145/3360605,W2107529624,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2010.0,9.0,openalex_author_id,A5076249757,first,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2943629542,"Dependence-aware, unbounded sound predictive race detection",Kaan Genç; Jake Roemer; XU Yu-fan; Michael D. Bond,https://doi.org/10.1145/3360605,W4252602476,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2012.0,7.0,openalex_author_id,A5076249757,middle,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2971934144,Efficient lock-free durable sets,Yoav Zuriel; Michal Friedman; Gali Sheffi; Nachshon Cohen; Erez Petrank,https://doi.org/10.1145/3360554,W2537482850,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2016.0,3.0,openalex_author_id,A5076249757,last,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2971934144,Efficient lock-free durable sets,Yoav Zuriel; Michal Friedman; Gali Sheffi; Nachshon Cohen; Erez Petrank,https://doi.org/10.1145/3360554,W2620872300,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2017.0,2.0,openalex_author_id,A5076249757,first,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2971934144,Efficient lock-free durable sets,Yoav Zuriel; Michal Friedman; Gali Sheffi; Nachshon Cohen; Erez Petrank,https://doi.org/10.1145/3360554,W2761242776,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2017.0,2.0,openalex_author_id,A5076249757,last,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2971934144,Efficient lock-free durable sets,Yoav Zuriel; Michal Friedman; Gali Sheffi; Nachshon Cohen; Erez Petrank,https://doi.org/10.1145/3360554,W2899106940,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2018.0,1.0,openalex_author_id,A5076249757,last,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2971934144,Efficient lock-free durable sets,Yoav Zuriel; Michal Friedman; Gali Sheffi; Nachshon Cohen; Erez Petrank,https://doi.org/10.1145/3360554,W2954315180,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2019.0,0.0,openalex_author_id,A5076249757,last,False,False,
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2106858176,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2011.0,8.0,openalex_author_id,A5076249757,first,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2115015193,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2009.0,10.0,openalex_author_id,A5076249757,first,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2115721786,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2015.0,4.0,openalex_author_id,A5076249757,first,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2171008784,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2010.0,9.0,openalex_author_id,A5076249757,first,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2273610566,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2016.0,3.0,openalex_author_id,A5076249757,middle,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2324544651,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2016.0,3.0,openalex_author_id,A5076249757,middle,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2537482850,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2016.0,3.0,openalex_author_id,A5076249757,last,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2761242776,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2017.0,2.0,openalex_author_id,A5076249757,last,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2788428017,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2018.0,1.0,openalex_author_id,A5076249757,last,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2790352815,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2018.0,1.0,openalex_author_id,A5076249757,last,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2953858112,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2019.0,0.0,openalex_author_id,A5076249757,last,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W2954315180,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2019.0,0.0,openalex_author_id,A5076249757,last,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2980046617,I/O dependent idempotence bugs in intermittent systems,Milijana Surbatovich; Limin Jia; Brandon Lucia,https://doi.org/10.1145/3360609,W4233347627,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2011.0,8.0,openalex_author_id,A5076249757,first,True,True,Brandon Lucia
brandonlucia,Brandon Lucia,2019,OOPSLA,0,2019,OOPSLA,W2979636764,Trace aware random testing for distributed systems,Burcu Kulahcioglu Ozkan; Rupak Majumdar; Simin Oraee,https://doi.org/10.1145/3360606,W2115015193,,,Brandon Lucia,A5076249757,0000-0003-4130-1099,2009.0,10.0,openalex_author_id,A5076249757,first,False,False,
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399850917,A Verified Compiler for a Functional Tensor Language,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3656390,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,10.0,openalex_author_id,A5018186543,middle,False,True,Adam Chlipala
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399850917,A Verified Compiler for a Functional Tensor Language,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3656390,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,4.0,openalex_author_id,A5018186543,first,False,True,Adam Chlipala
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399850917,A Verified Compiler for a Functional Tensor Language,Amanda Liu; Gilbert Bernstein; Adam Chlipala; Jonathan Ragan‐Kelley,https://doi.org/10.1145/3656390,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,False,True,Adam Chlipala
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399872376,Daedalus: Safer Document Parsing,Iavor S. Diatchki; Mike Dodds; Harrison Goldstein; Bill Harris; David A. Holland; Benoît Razet; Cole Schlesinger; Simon Winwood,https://doi.org/10.1145/3656410,W2966873892,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2019.0,5.0,openalex_author_id,A5018186543,middle,False,False,
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399851201,Foundational Integration Verification of a Cryptographic Server,Andres Erbsen; Jade Philipoom; Dustin Jamner; Ashley Lin; Samuel Gruetter; Clément Pit-Claudel; Adam Chlipala,https://doi.org/10.1145/3656446,W3037570434,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,4.0,openalex_author_id,A5018186543,first,True,True,Adam Chlipala; Clément Pit-Claudel
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399851201,Foundational Integration Verification of a Cryptographic Server,Andres Erbsen; Jade Philipoom; Dustin Jamner; Ashley Lin; Samuel Gruetter; Clément Pit-Claudel; Adam Chlipala,https://doi.org/10.1145/3656446,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,True,True,Adam Chlipala; Andres Erbsen; Clément Pit-Claudel; Dustin Jamner; Jade Philipoom
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4394653559,IsoPredict: Dynamic Predictive Analysis for Detecting Unserializable Behaviors in Weakly Isolated Data Store Applications,Chujun Geng; Spyros Blanas; Michael D. Bond; Yang Wang,https://doi.org/10.1145/3656391,W2491721896,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2016.0,8.0,openalex_author_id,A5018186543,last,False,False,
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399851161,Live Verification in an Interactive Proof Assistant,Samuel Gruetter; Viktor Fukala; Adam Chlipala,https://doi.org/10.1145/3656439,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,10.0,openalex_author_id,A5018186543,middle,False,True,Adam Chlipala
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399851161,Live Verification in an Interactive Proof Assistant,Samuel Gruetter; Viktor Fukala; Adam Chlipala,https://doi.org/10.1145/3656439,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,False,True,Adam Chlipala
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399850843,Modular Hardware Design of Pipelined Circuits with Hazards,Minseong Jang; J. G. Rhee; Woojin Lee; Shuangshuang Zhao; Jeehoon Kang,https://doi.org/10.1145/3656378,W3033189783,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,4.0,openalex_author_id,A5018186543,middle,False,False,
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399872417,The Functional Essence of Imperative Binary Search Trees,Anton Lorenzen; Daan Leijen; Wouter Swierstra; Sam Lindley,https://doi.org/10.1145/3656398,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,False,False,
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4389524964,Verified Extraction from Coq to OCaml,Yannick Forster; Matthieu Sozeau; Nicolas Tabareau,https://doi.org/10.1145/3656379,W4281843089,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2022.0,2.0,openalex_author_id,A5018186543,first,False,False,
clementpitclaudel,Clément Pit-Claudel,2024,PLDI,0,2024,PLDI,W4399251764,Wavefront Threading Enables Effective High-Level Synthesis,Blake Pelton; Adam Sapek; Ken Eguro; Daniel Lo; Alessandro Forin; Matt Humphrey; Jin-wen Xi; D. J. Cox; Rajas H. Karandikar; Johannes de Fine Licht; Evgeny Babin; Adrian M. Caulfield; Doug Burger,https://doi.org/10.1145/3656420,W3033189783,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,4.0,openalex_author_id,A5018186543,middle,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA1,W4405730105,A Mechanized Semantics for Dataflow Circuits,Tony Law; Delphine Demange; Sandrine Blazy,https://doi.org/10.1145/3720432,W3033189783,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,5.0,openalex_author_id,A5018186543,middle,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA2,W4414977271,Certified Decision Procedures for Width-Independent Bitvector Predicates,Siddharth Bhat; Léo Stefanesco; Chris Hughes; Tobias Grosser,https://doi.org/10.1145/3763148,W3033189783,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,5.0,openalex_author_id,A5018186543,middle,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA1,W4409311790,Efficient Algorithms for the Uniform Tokenization Problem,Wu Angela Li; Konstantinos Mamouras,https://doi.org/10.1145/3720498,W4399851420,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2024.0,1.0,openalex_author_id,A5018186543,last,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA2,W4414988704,Incremental Certified Programming,Tomás Díaz; Kenji Maillard; Nicolas Tabareau; Éric Tanter,https://doi.org/10.1145/3763068,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,11.0,openalex_author_id,A5018186543,middle,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA2,W4414988704,Incremental Certified Programming,Tomás Díaz; Kenji Maillard; Nicolas Tabareau; Éric Tanter,https://doi.org/10.1145/3763068,W4391376921,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2024.0,1.0,openalex_author_id,A5018186543,last,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA2,W4414988634,Interactive Bitvector Reasoning using Verified Bit-Blasting,Henrik Böving; Siddharth Bhat; Luisa Cicolini; Alex Keizer; Léon Frenot; Abdalrhman Mohamed; Léo Stefanesco; Harun Khan; Joshua Clune; Clark Barrett; Tobias Grosser,https://doi.org/10.1145/3763167,W3033189783,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,5.0,openalex_author_id,A5018186543,middle,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA2,W4414977244,On the Impact of Formal Verification on Software Development,Eric Mugnier; Yuanyuan Zhou; Ranjit Jhala; Michael Coblenz,https://doi.org/10.1145/3763181,W4411552270,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2025.0,0.0,openalex_author_id,A5018186543,middle,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA1,W4409310647,QED in Context: An Observation Study of Proof Assistant Users,Jessica Shi; Cassia Torczon; Harrison Goldstein; Benjamin C. Pierce; Andrew Head,https://doi.org/10.1145/3720426,W3106543884,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2020.0,5.0,openalex_author_id,A5018186543,first,False,False,
clementpitclaudel,Clément Pit-Claudel,2025,OOPSLA_COMBINED,0,2025,OOPSLA2,W4414977289,We’ve Got You Covered: Type-Guided Repair of Incomplete Input Generators,Patrick LaFontaine; Z. Zhou; Ashish Mishra; Suresh Jagannathan; Benjamin Delaware,https://doi.org/10.1145/3763158,W1976978933,,,Clément Pit-Claudel,A5018186543,0000-0002-1900-3901,2014.0,11.0,openalex_author_id,A5018186543,middle,False,True,Benjamin Delaware
ezgicicek,Ezgi Çiçek,2019,ICFP,0,2019,ICFP,W2964769002,Closure conversion is safe for space,Zoe Paraskevopoulou; Andrew W. Appel,https://doi.org/10.1145/3341687,W2119859640,,,Ezgi Çiçek,A5058419137,,2015.0,4.0,openalex_author_id,A5058419137,first,False,False,
ezgicicek,Ezgi Çiçek,2019,ICFP,0,2019,ICFP,W2964769002,Closure conversion is safe for space,Zoe Paraskevopoulou; Andrew W. Appel,https://doi.org/10.1145/3341687,W2514317887,,,Ezgi Çiçek,A5058419137,,2016.0,3.0,openalex_author_id,A5058419137,first,False,True,Zoe Paraskevopoulou
ezgicicek,Ezgi Çiçek,2019,ICFP,0,2019,ICFP,W2964769002,Closure conversion is safe for space,Zoe Paraskevopoulou; Andrew W. Appel,https://doi.org/10.1145/3341687,W2565334366,,,Ezgi Çiçek,A5058419137,,2016.0,3.0,openalex_author_id,A5058419137,first,False,False,
ezgicicek,Ezgi Çiçek,2019,ICFP,0,2019,ICFP,W2904742893,Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg,https://doi.org/10.1145/3341696,W2514317887,,,Ezgi Çiçek,A5058419137,,2016.0,3.0,openalex_author_id,A5058419137,first,False,True,Deepak Garg
ezgicicek,Ezgi Çiçek,2019,ICFP,0,2019,ICFP,W2904742893,Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg,https://doi.org/10.1145/3341696,W2565334366,,,Ezgi Çiçek,A5058419137,,2016.0,3.0,openalex_author_id,A5058419137,first,False,True,Deepak Garg
ezgicicek,Ezgi Çiçek,2019,ICFP,0,2019,ICFP,W2904742893,Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg,https://doi.org/10.1145/3341696,W3004472005,,,Ezgi Çiçek,A5058419137,,2016.0,3.0,openalex_author_id,A5058419137,first,False,True,Deepak Garg
ezgicicek,Ezgi Çiçek,2019,ICFP,0,2019,ICFP,W2904742893,Relational cost analysis for functional-imperative programs,Weihao Qu; Marco Gaboardi; Deepak Garg,https://doi.org/10.1145/3341696,W3014043685,,,Ezgi Çiçek,A5058419137,,2017.0,2.0,openalex_author_id,A5058419137,first,False,True,Deepak Garg
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4384389552,Efficient CHAD,Tom Smeding; Matthijs Vákár,https://doi.org/10.1145/3632878,W2644985445,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,2017.0,7.0,openalex_author_id,A5045204080,middle,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4384389552,Efficient CHAD,Tom Smeding; Matthijs Vákár,https://doi.org/10.1145/3632878,W4283832132,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,2022.0,2.0,openalex_author_id,A5045204080,middle,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390604686,Efficient Matching of Regular Expressions with Lookaround Assertions,Konstantinos Mamouras; Agnishom Chattopadhyay,https://doi.org/10.1145/3632934,W1820500785,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,2011.0,13.0,openalex_author_id,A5045204080,last,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390604686,Efficient Matching of Regular Expressions with Lookaround Assertions,Konstantinos Mamouras; Agnishom Chattopadhyay,https://doi.org/10.1145/3632934,W2147817491,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,2013.0,11.0,openalex_author_id,A5045204080,middle,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390604686,Efficient Matching of Regular Expressions with Lookaround Assertions,Konstantinos Mamouras; Agnishom Chattopadhyay,https://doi.org/10.1145/3632934,W2293231120,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,2016.0,8.0,openalex_author_id,A5045204080,middle,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390604686,Efficient Matching of Regular Expressions with Lookaround Assertions,Konstantinos Mamouras; Agnishom Chattopadhyay,https://doi.org/10.1145/3632934,W33792228,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,2014.0,10.0,openalex_author_id,A5045204080,middle,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390604785,Explicit Effects and Effect Constraints in ReML,Martin Elsman,https://doi.org/10.1145/3632921,W2074003683,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,2001.0,23.0,openalex_author_id,A5045204080,first,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390604707,On-the-Fly Static Analysis via Dynamic Bidirected Dyck Reachability,Shankara Narayanan Krishna; A. K. Lal; Andreas Pavlogiannis; Omkar Tuppe,https://doi.org/10.1145/3632884,W2142174207,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,1991.0,33.0,openalex_author_id,A5045204080,first,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390604707,On-the-Fly Static Analysis via Dynamic Bidirected Dyck Reachability,Shankara Narayanan Krishna; A. K. Lal; Andreas Pavlogiannis; Omkar Tuppe,https://doi.org/10.1145/3632884,W2161100976,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,1992.0,32.0,openalex_author_id,A5045204080,first,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390603586,Parametric Subtyping for Structural Parametric Polymorphism,Henry DeYoung; Andreia Mordido; Frank Pfenning; Ankush Das,https://doi.org/10.1145/3632932,W1589260337,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,1998.0,26.0,openalex_author_id,A5045204080,last,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4388843416,Polymorphic Type Inference for Dynamic Languages,Giuseppe Castagna; Mickaël Laurent; Kim Nguyễn,https://doi.org/10.1145/3632882,W1964952791,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,1993.0,31.0,openalex_author_id,A5045204080,first,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390603566,Type-Based Gradual Typing Performance Optimization,John Peter Campora; Mohammad Wahiduzzaman Khan; Sheng Chen,https://doi.org/10.1145/3632931,W2133828278,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,1994.0,30.0,openalex_author_id,A5045204080,first,False,False,
fritzhenglein,Fritz Henglein,2024,POPL,0,2024,POPL,W4390603329,Validation of Modern JSON Schema: Formalization and Complexity,Lyes Attouche; Mohamed-Amine Baazizi; Dario Colazzo; Giorgio Ghelli; Carlo Sartiani; Stefanie Scherzinger,https://doi.org/10.1145/3632891,W2112391755,,,Fritz Henglein,A5045204080,0000-0001-5190-2125,1994.0,30.0,openalex_author_id,A5045204080,first,False,False,
jonathanbrachthauser,Jonathan Immanuel Brachthäuser,2024,POPL,0,2024,POPL,W4390605103,Algebraic Effects Meet Hoare Logic in Cubical Agda,Donnacha Oisín Kidney; Zhixuan Yang; Nicolas Wu,https://doi.org/10.1145/3632898,W2898332157,,,Jonathan Immanuel Brachthäuser,A5027088540,0000-0001-9128-0391,2018.0,6.0,openalex_author_id,A5027088540,first,False,False,
jonathanbrachthauser,Jonathan Immanuel Brachthäuser,2024,POPL,0,2024,POPL,W4390605103,Algebraic Effects Meet Hoare Logic in Cubical Agda,Donnacha Oisín Kidney; Zhixuan Yang; Nicolas Wu,https://doi.org/10.1145/3632898,W3047512562,,,Jonathan Immanuel Brachthäuser,A5027088540,0000-0001-9128-0391,2020.0,4.0,openalex_author_id,A5027088540,middle,False,False,
