analysis_group,sample_key,sample_label,split_kind,cohort_key,cohort_label,event_time,event_units,defined_delta_shares,zero_total_citation_years,median_career_age_in_sample,mean_delta_source_share_pp,delta_ci_low_pp,delta_ci_high_pp
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-2,263,231,32,16.0,0.0,0.0,0.0
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-1,263,221,24,16.0,-1.612,-6.418,2.82
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,0,263,220,22,16.0,2.504,-2.24,6.975
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,1,263,222,15,16.0,-0.48,-5.243,4.253
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,2,263,226,11,16.0,-5.307,-9.538,-0.585
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,51,42,9,16.0,0.0,0.0,0.0
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,51,39,5,16.0,2.722,-11.663,16.947
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,0,51,41,2,16.0,4.228,-10.29,17.611
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,1,51,40,2,16.0,6.9,-6.721,20.131
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,2,51,41,3,16.0,-9.502,-22.274,2.301
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,114,101,13,16.0,0.0,0.0,0.0
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,114,97,11,16.0,-4.752,-11.272,1.972
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,0,114,94,11,16.0,1.231,-6.489,8.836
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,1,114,97,8,16.0,-1.762,-8.992,5.255
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,2,114,99,6,16.0,-3.708,-9.946,2.33
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,98,88,10,16.0,0.0,0.0,0.0
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,98,85,8,16.0,-0.016,-6.701,6.734
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,0,98,85,9,16.0,3.081,-3.246,9.154
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,1,98,85,5,16.0,-2.49,-9.379,4.065
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,2,98,86,2,16.0,-5.147,-11.842,1.905
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-2,193,165,28,14.0,0.0,0.0,0.0
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-1,193,155,23,14.0,-0.402,-6.093,5.624
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,0,193,155,19,14.0,4.866,-1.073,10.797
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,1,193,158,12,14.0,2.448,-3.344,8.297
