analysis_group,sample_key,sample_label,split_kind,cohort_key,cohort_label,event_units,defined_pc_year_deltas,zero_total_citation_pc_years,median_career_age_in_sample,mean_pc_year_share_pct,mean_baseline_share_pct,mean_delta_source_share_pp,median_delta_source_share_pp
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,263,220,22,16.0,35.191,32.886,2.504,2.429
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,51,41,2,16.0,36.725,34.353,4.228,11.364
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,114,94,11,16.0,33.392,32.758,1.231,2.429
All,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,98,85,9,16.0,36.429,32.333,3.081,0.0
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,193,155,19,14.0,35.405,31.098,4.866,7.143
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,49,39,2,14.0,37.13,33.102,6.095,12.5
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,98,78,11,14.0,33.855,31.296,3.464,5.515
All,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,46,38,6,14.0,36.751,28.675,6.483,8.906
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,87,62,11,12.0,39.26,28.785,9.196,12.031
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,25,18,1,12.0,36.386,31.0,5.606,5.959
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,46,34,6,12.0,41.555,27.283,12.58,12.897
All,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,16,10,4,12.0,37.356,30.009,4.151,12.854
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,85,72,4,16.0,30.068,32.663,-1.155,0.0
