plot_group,sample,split_kind,cohort,median_career_age,n_event_units
Aggregate,all_balanced_event_units,fixed_buckets,all_in_sample,16.0,349
Aggregate,all_balanced_event_units,fixed_buckets,career_age_0_9,16.0,60
Aggregate,all_balanced_event_units,fixed_buckets,career_age_10_19,16.0,159
Aggregate,all_balanced_event_units,fixed_buckets,career_age_20_plus,16.0,130
Aggregate,excluded_from_no_earlier_service,fixed_buckets,all_in_sample,18.0,248
Aggregate,excluded_from_no_earlier_service,fixed_buckets,career_age_0_9,18.0,34
Aggregate,excluded_from_no_earlier_service,fixed_buckets,career_age_10_19,18.0,102
Aggregate,excluded_from_no_earlier_service,fixed_buckets,career_age_20_plus,18.0,112
Aggregate,no_earlier_broad_service_evidence,fixed_buckets,all_in_sample,14.0,101
Aggregate,no_earlier_broad_service_evidence,fixed_buckets,career_age_0_9,14.0,26
Aggregate,no_earlier_broad_service_evidence,fixed_buckets,career_age_10_19,14.0,57
Aggregate,no_earlier_broad_service_evidence,fixed_buckets,career_age_20_plus,14.0,18
POPL,all_balanced_event_units,fixed_buckets,all_in_sample,17.0,138
POPL,all_balanced_event_units,fixed_buckets,career_age_0_9,17.0,18
POPL,all_balanced_event_units,fixed_buckets,career_age_10_19,17.0,64
POPL,all_balanced_event_units,fixed_buckets,career_age_20_plus,17.0,56
POPL,no_earlier_broad_service_evidence,fixed_buckets,all_in_sample,12.5,28
POPL,no_earlier_broad_service_evidence,fixed_buckets,career_age_0_9,12.5,7
POPL,no_earlier_broad_service_evidence,fixed_buckets,career_age_10_19,12.5,17
POPL,no_earlier_broad_service_evidence,fixed_buckets,career_age_20_plus,12.5,4
ICFP,all_balanced_event_units,fixed_buckets,all_in_sample,16.0,106
ICFP,all_balanced_event_units,fixed_buckets,career_age_0_9,16.0,24
ICFP,all_balanced_event_units,fixed_buckets,career_age_10_19,16.0,43
ICFP,all_balanced_event_units,fixed_buckets,career_age_20_plus,16.0,39
ICFP,no_earlier_broad_service_evidence,fixed_buckets,all_in_sample,11.0,31
ICFP,no_earlier_broad_service_evidence,fixed_buckets,career_age_0_9,11.0,10
ICFP,no_earlier_broad_service_evidence,fixed_buckets,career_age_10_19,11.0,15
ICFP,no_earlier_broad_service_evidence,fixed_buckets,career_age_20_plus,11.0,6
OOPSLA,all_balanced_event_units,fixed_buckets,all_in_sample,15.0,21
OOPSLA,all_balanced_event_units,fixed_buckets,career_age_0_9,15.0,3
OOPSLA,all_balanced_event_units,fixed_buckets,career_age_10_19,15.0,12
OOPSLA,all_balanced_event_units,fixed_buckets,career_age_20_plus,15.0,6
OOPSLA,no_earlier_broad_service_evidence,fixed_buckets,all_in_sample,15.0,6
OOPSLA,no_earlier_broad_service_evidence,fixed_buckets,career_age_0_9,15.0,2
OOPSLA,no_earlier_broad_service_evidence,fixed_buckets,career_age_10_19,15.0,3
OOPSLA,no_earlier_broad_service_evidence,fixed_buckets,career_age_20_plus,15.0,1
PLDI before 2021,all_balanced_event_units,fixed_buckets,all_in_sample,18.0,33
PLDI before 2021,all_balanced_event_units,fixed_buckets,career_age_0_9,18.0,4
PLDI before 2021,all_balanced_event_units,fixed_buckets,career_age_10_19,18.0,15
PLDI before 2021,all_balanced_event_units,fixed_buckets,career_age_20_plus,18.0,14
PLDI before 2021,no_earlier_broad_service_evidence,fixed_buckets,all_in_sample,15.0,6
PLDI before 2021,no_earlier_broad_service_evidence,fixed_buckets,career_age_0_9,15.0,1
PLDI before 2021,no_earlier_broad_service_evidence,fixed_buckets,career_age_10_19,15.0,4
PLDI before 2021,no_earlier_broad_service_evidence,fixed_buckets,career_age_20_plus,15.0,1
PLDI 2021 onward,all_balanced_event_units,fixed_buckets,all_in_sample,16.0,105
PLDI 2021 onward,all_balanced_event_units,fixed_buckets,career_age_0_9,16.0,18
PLDI 2021 onward,all_balanced_event_units,fixed_buckets,career_age_10_19,16.0,52
PLDI 2021 onward,all_balanced_event_units,fixed_buckets,career_age_20_plus,16.0,35
PLDI 2021 onward,no_earlier_broad_service_evidence,fixed_buckets,all_in_sample,14.5,42
PLDI 2021 onward,no_earlier_broad_service_evidence,fixed_buckets,career_age_0_9,14.5,9
PLDI 2021 onward,no_earlier_broad_service_evidence,fixed_buckets,career_age_10_19,14.5,25
PLDI 2021 onward,no_earlier_broad_service_evidence,fixed_buckets,career_age_20_plus,14.5,8
